Date, Open, High, Low, Close, Volume
17-May-13,56.69,57.49,56.69,56.99,137243
16-May-13,56.38,57.12,56.02,56.45,125894
15-May-13,54.98,56.94,54.92,56.50,209321
14-May-13,54.25,55.19,54.00,54.98,256634
13-May-13,54.25,54.29,53.94,54.17,138830
10-May-13,53.49,54.25,53.27,54.24,84932
9-May-13,53.36,54.48,53.34,53.53,144773
8-May-13,53.46,54.86,53.43,53.98,283056
7-May-13,52.75,53.83,52.50,52.96,315256
6-May-13,52.42,52.75,52.03,52.70,251861
3-May-13,49.47,53.11,49.47,52.23,685900
2-May-13,47.46,48.85,47.11,48.61,239375
1-May-13,48.45,48.82,46.78,47.27,236763
30-Apr-13,48.75,48.87,48.38,48.68,101263
29-Apr-13,48.96,49.69,48.67,48.96,198659
26-Apr-13,49.68,49.68,47.42,48.61,127395
25-Apr-13,50.10,50.44,49.61,49.68,78993
24-Apr-13,49.42,50.22,49.21,49.99,98793
23-Apr-13,48.55,49.57,48.51,49.20,102288
22-Apr-13,48.13,48.58,46.99,48.17,209427
19-Apr-13,46.61,48.02,46.61,47.94,118844
18-Apr-13,46.14,47.22,45.79,46.44,180550
17-Apr-13,46.93,46.93,45.61,45.83,125926
16-Apr-13,46.50,47.51,46.37,47.41,90274
15-Apr-13,49.19,49.19,45.87,46.00,199413
12-Apr-13,48.75,49.65,48.54,49.50,233385
11-Apr-13,48.97,49.64,48.54,48.84,162351
10-Apr-13,48.50,49.28,48.06,49.12,97997
9-Apr-13,48.58,48.83,48.12,48.32,77506
8-Apr-13,47.63,48.58,47.30,48.50,80429
5-Apr-13,45.83,47.72,45.24,47.48,148712
4-Apr-13,46.54,46.99,45.96,46.74,184437
3-Apr-13,47.99,47.99,45.48,46.46,244065
2-Apr-13,48.04,48.47,47.57,48.00,181571
1-Apr-13,49.00,49.25,47.66,48.02,209258
28-Mar-13,49.48,50.13,48.99,49.18,147311
27-Mar-13,49.15,49.54,47.67,49.32,305052
26-Mar-13,51.42,51.43,49.17,49.60,290419
25-Mar-13,50.99,51.50,50.89,51.43,254701
22-Mar-13,50.56,51.00,49.88,50.83,134835
21-Mar-13,50.57,50.57,49.60,50.24,269357
20-Mar-13,50.28,50.95,50.28,50.86,109377
19-Mar-13,49.81,51.04,49.54,49.96,151936
18-Mar-13,48.98,49.69,48.83,49.55,269188
15-Mar-13,50.60,50.99,49.48,49.68,237691
14-Mar-13,50.33,50.79,50.01,50.74,118845
13-Mar-13,50.14,50.46,49.52,50.34,112405
12-Mar-13,50.11,50.26,49.48,50.08,172299
11-Mar-13,50.78,50.79,50.19,50.45,181294
8-Mar-13,50.56,51.03,50.56,50.90,320162
7-Mar-13,50.65,50.79,49.61,50.15,294487
6-Mar-13,50.77,51.02,50.02,50.55,338673
5-Mar-13,49.91,50.99,49.77,50.59,322313
4-Mar-13,48.26,50.00,48.21,49.70,364492
1-Mar-13,46.85,48.54,46.50,48.32,257843
28-Feb-13,47.32,47.95,46.42,47.24,246148
27-Feb-13,45.66,47.72,45.66,47.30,160349
26-Feb-13,44.93,45.95,43.63,45.66,234290
25-Feb-13,46.51,46.56,44.55,44.69,187356
22-Feb-13,45.61,46.50,45.52,46.30,195088
21-Feb-13,47.60,47.60,44.79,45.37,401924
20-Feb-13,46.95,48.67,46.76,47.73,621996
19-Feb-13,43.25,47.38,41.78,47.01,1211073
15-Feb-13,44.49,45.48,43.99,44.34,372891
14-Feb-13,44.53,44.71,44.07,44.49,241638
13-Feb-13,43.75,44.99,43.59,44.78,299699
12-Feb-13,42.67,44.08,42.62,43.88,292742
11-Feb-13,41.62,42.73,41.08,42.65,211587
8-Feb-13,40.96,42.09,40.96,41.57,176067
7-Feb-13,41.40,41.47,40.45,40.86,93786
6-Feb-13,41.20,41.56,40.92,41.36,83266
5-Feb-13,41.38,41.70,41.14,41.37,116750
4-Feb-13,41.84,42.09,41.41,41.52,97109
1-Feb-13,42.50,42.55,41.88,42.03,134845
31-Jan-13,42.30,42.66,41.76,42.25,137528
30-Jan-13,43.74,43.77,42.07,42.31,260426
29-Jan-13,42.70,43.80,42.30,43.74,310362
28-Jan-13,42.78,42.91,42.44,42.66,232275
25-Jan-13,41.75,42.99,41.52,42.78,226370
24-Jan-13,40.91,41.81,40.76,41.78,214652
23-Jan-13,40.43,41.20,40.27,40.84,140692
22-Jan-13,40.34,40.89,40.08,40.45,84865
18-Jan-13,40.70,40.70,39.82,40.33,115831
17-Jan-13,39.17,41.38,38.81,40.69,217563
16-Jan-13,39.16,39.36,38.74,38.97,86251
15-Jan-13,39.65,40.04,39.02,39.19,139086
14-Jan-13,39.82,40.22,39.66,39.85,151430
11-Jan-13,39.72,40.62,39.63,39.66,205379
10-Jan-13,39.96,40.23,39.57,39.65,135584
9-Jan-13,39.29,39.98,39.15,39.80,156956
8-Jan-13,39.54,40.00,38.84,39.20,101970
7-Jan-13,39.41,40.43,39.10,39.59,229176
4-Jan-13,39.31,39.74,39.03,39.42,181586
3-Jan-13,38.42,39.72,38.16,39.09,227276
2-Jan-13,38.13,38.88,38.10,38.53,208849
31-Dec-12,36.38,37.44,36.28,37.23,156569
28-Dec-12,36.69,36.84,36.23,36.42,119033
27-Dec-12,36.76,37.07,36.26,36.89,269379
26-Dec-12,37.58,37.68,36.59,36.74,263047
24-Dec-12,37.61,38.37,37.27,37.61,173410
21-Dec-12,39.00,39.00,37.38,37.52,2082793
20-Dec-12,39.07,39.55,38.72,39.47,266883
19-Dec-12,39.34,39.59,38.79,39.15,351522
18-Dec-12,38.00,39.32,37.83,39.24,625739
17-Dec-12,37.82,38.19,37.48,38.03,318862
14-Dec-12,37.61,37.95,37.21,37.76,120625
13-Dec-12,38.20,38.29,37.58,37.78,101028
12-Dec-12,37.85,38.65,37.85,38.09,248749
11-Dec-12,38.25,39.20,37.80,38.23,208145
10-Dec-12,38.59,38.91,38.38,38.62,222140
7-Dec-12,38.91,39.10,38.26,38.59,232799
6-Dec-12,39.72,39.97,38.58,38.66,218640
5-Dec-12,40.61,40.61,39.20,39.84,206585
4-Dec-12,40.55,40.81,40.27,40.56,303953
3-Dec-12,39.94,40.75,39.88,40.41,209636
30-Nov-12,40.75,40.75,40.20,40.61,159232
29-Nov-12,40.25,40.76,40.04,40.76,251063
