Date, Open, High, Low, Close, Volume
17-May-13,20.10,20.27,19.88,20.20,54095
16-May-13,19.55,20.06,19.55,20.00,57503
15-May-13,20.05,20.23,19.95,20.10,96761
14-May-13,19.81,20.21,19.81,20.00,300591
13-May-13,19.59,19.78,19.53,19.71,89554
10-May-13,19.56,19.80,19.46,19.67,54219
9-May-13,19.30,19.61,19.30,19.61,64951
8-May-13,19.20,19.48,18.92,19.48,54520
7-May-13,18.94,19.03,18.72,19.00,52695
6-May-13,18.79,18.91,18.75,18.83,22213
3-May-13,18.73,18.88,18.66,18.81,48033
2-May-13,18.26,18.67,18.21,18.62,41469
1-May-13,18.78,18.87,18.20,18.24,94382
30-Apr-13,18.79,18.96,18.72,18.82,37887
29-Apr-13,18.65,18.80,17.81,18.76,44111
26-Apr-13,18.72,18.74,18.52,18.58,48562
25-Apr-13,18.65,18.81,18.45,18.71,73321
24-Apr-13,18.64,18.69,18.44,18.66,24363
23-Apr-13,18.50,18.76,18.50,18.70,47628
22-Apr-13,18.45,18.48,18.21,18.43,43974
19-Apr-13,18.20,18.52,18.20,18.46,100716
18-Apr-13,18.12,18.25,18.01,18.14,38229
17-Apr-13,18.23,18.32,17.95,18.05,58271
16-Apr-13,18.00,18.45,17.85,18.37,43715
15-Apr-13,18.39,18.39,17.90,17.92,54802
12-Apr-13,18.40,18.51,18.35,18.42,20748
11-Apr-13,18.29,18.46,18.20,18.39,165868
10-Apr-13,18.10,18.41,18.01,18.26,37420
9-Apr-13,18.06,18.17,17.98,18.02,16221
8-Apr-13,18.32,18.42,17.96,18.10,97626
5-Apr-13,17.86,18.50,17.86,18.33,55554
4-Apr-13,17.95,18.13,17.79,18.12,52595
3-Apr-13,18.36,18.36,17.77,17.99,70578
2-Apr-13,18.43,18.62,18.06,18.21,77057
1-Apr-13,17.94,18.40,17.86,18.35,185245
28-Mar-13,17.85,18.01,17.69,17.98,103101
27-Mar-13,17.64,17.78,17.50,17.76,154938
26-Mar-13,17.88,17.88,17.71,17.78,28754
25-Mar-13,17.53,17.84,17.49,17.77,31780
22-Mar-13,17.42,17.47,17.25,17.47,78556
21-Mar-13,17.25,17.36,17.23,17.27,151762
