Date, Open, High, Low, Close, Volume
17-May-13,61.23,63.32,61.17,63.26,985025
16-May-13,62.38,63.00,61.41,61.50,753631
15-May-13,62.19,62.66,62.00,62.53,797955
14-May-13,61.54,62.52,61.54,62.38,1123644
13-May-13,61.46,61.77,60.84,61.56,819212
10-May-13,61.25,61.99,61.02,61.71,741221
9-May-13,60.91,61.70,60.91,61.10,760158
8-May-13,60.90,61.30,60.68,60.94,747865
7-May-13,60.48,61.06,60.32,60.88,879308
6-May-13,59.54,60.33,59.52,60.32,838417
3-May-13,59.31,60.40,59.28,59.44,908482
2-May-13,58.08,59.22,57.91,58.22,1131368
1-May-13,59.66,60.04,57.88,58.05,1057968
30-Apr-13,60.40,60.79,59.08,60.07,2153175
29-Apr-13,58.94,59.29,58.46,58.89,1023111
26-Apr-13,58.61,59.17,58.08,58.70,1335976
25-Apr-13,56.79,58.66,56.64,58.34,2022196
24-Apr-13,55.87,56.52,55.68,56.35,707160
23-Apr-13,55.39,56.02,55.10,55.87,928344
22-Apr-13,54.22,55.38,53.87,55.19,868194
19-Apr-13,53.06,53.58,52.63,53.57,944646
18-Apr-13,53.96,54.25,52.48,52.73,724783
17-Apr-13,54.52,54.52,53.44,53.93,864237
16-Apr-13,54.88,55.29,54.26,55.12,849754
15-Apr-13,56.43,56.63,54.12,54.23,1227631
12-Apr-13,56.42,56.95,56.26,56.78,860504
11-Apr-13,55.90,56.93,55.69,56.87,1284434
10-Apr-13,54.69,56.02,54.60,55.83,1012277
9-Apr-13,54.19,54.63,53.67,54.41,1212493
8-Apr-13,53.84,54.02,53.56,54.00,557440
5-Apr-13,53.05,54.02,52.77,53.97,954366
4-Apr-13,54.22,54.41,52.68,53.94,1289714
3-Apr-13,54.49,54.78,53.95,54.28,1088085
2-Apr-13,54.81,55.28,54.42,54.46,975366
1-Apr-13,55.01,55.36,54.12,54.32,1386802
28-Mar-13,55.75,55.94,54.72,55.00,1222111
27-Mar-13,55.24,55.94,54.39,55.71,1633261
26-Mar-13,55.50,55.96,55.17,55.81,807679
25-Mar-13,55.60,56.37,54.83,55.04,1131524
22-Mar-13,57.57,57.73,55.27,55.51,1433617
21-Mar-13,58.49,59.21,56.55,57.25,1403134
20-Mar-13,58.64,59.15,58.59,58.93,845778
19-Mar-13,59.23,59.39,58.15,58.29,1091214
18-Mar-13,58.50,59.49,57.57,59.16,966914
15-Mar-13,59.33,59.51,59.13,59.40,1690399
14-Mar-13,59.21,59.43,59.01,59.35,1284755
13-Mar-13,59.06,59.46,58.89,59.25,1055000
12-Mar-13,59.31,59.76,58.89,59.14,1387425
11-Mar-13,59.04,59.45,58.65,59.15,1409142
8-Mar-13,59.18,59.28,58.62,59.09,1371576
7-Mar-13,58.79,59.16,58.70,58.77,1118411
6-Mar-13,58.45,58.95,58.16,58.73,1664530
5-Mar-13,59.14,59.20,58.37,58.40,1058882
4-Mar-13,58.96,58.96,58.08,58.66,533396
1-Mar-13,58.02,59.12,57.29,59.08,1461820
28-Feb-13,58.11,58.95,57.97,58.69,1815264
27-Feb-13,57.16,58.15,56.96,58.00,1434210
26-Feb-13,57.40,57.99,56.19,57.13,1148584
25-Feb-13,58.79,59.08,57.11,57.11,1547460
22-Feb-13,58.21,58.26,57.29,58.20,1192161
21-Feb-13,58.78,58.79,56.78,57.85,4272708
20-Feb-13,61.24,61.45,60.13,60.15,839732
19-Feb-13,60.45,61.52,59.77,61.42,1167000
15-Feb-13,61.28,63.19,59.49,60.32,2151064
14-Feb-13,59.36,60.27,58.87,59.83,909055
13-Feb-13,60.55,60.72,59.38,59.43,1189403
12-Feb-13,59.85,60.92,59.85,60.23,938669
11-Feb-13,59.53,60.04,59.40,60.02,515203
8-Feb-13,58.43,59.72,58.43,59.60,783106
7-Feb-13,58.10,58.44,57.57,58.30,588511
6-Feb-13,58.18,58.61,57.97,58.03,905825
5-Feb-13,57.90,59.15,57.79,58.52,662018
4-Feb-13,58.18,58.37,57.43,57.52,609396
1-Feb-13,58.20,59.25,57.94,58.65,865159
31-Jan-13,57.64,57.84,56.93,57.63,645348
30-Jan-13,58.57,58.65,57.92,58.07,714053
29-Jan-13,58.17,58.80,57.09,58.75,843685
28-Jan-13,58.45,58.98,58.14,58.29,774117
25-Jan-13,57.60,58.51,57.27,58.37,797707
24-Jan-13,56.64,57.66,56.53,57.23,977139
23-Jan-13,56.33,56.67,56.21,56.49,920621
22-Jan-13,56.21,56.31,55.73,56.29,469541
