Date, Open, High, Low, Close, Volume
17-May-13,30.17,30.61,30.13,30.61,73156
16-May-13,29.84,30.05,29.73,29.92,42821
15-May-13,29.66,29.85,29.46,29.80,52566
14-May-13,29.22,29.84,29.16,29.54,91455
13-May-13,29.30,29.80,29.09,29.19,85137
10-May-13,29.14,29.64,28.98,29.06,59541
9-May-13,29.46,30.15,28.99,29.00,100345
8-May-13,29.44,29.84,29.40,29.62,31487
7-May-13,29.50,29.56,29.30,29.45,42753
6-May-13,29.28,29.39,29.02,29.39,26801
3-May-13,29.03,29.39,28.91,29.18,36592
2-May-13,29.43,29.57,28.85,28.98,41883
1-May-13,29.17,29.43,29.02,29.19,35265
30-Apr-13,29.14,29.28,29.00,29.17,49881
29-Apr-13,29.00,29.21,28.76,28.99,51638
26-Apr-13,28.93,29.29,28.64,28.84,39852
25-Apr-13,29.02,29.29,28.30,28.64,53058
24-Apr-13,28.67,29.12,28.62,29.07,56666
23-Apr-13,28.61,28.67,28.32,28.65,50369
22-Apr-13,28.29,28.46,28.29,28.36,55722
19-Apr-13,27.95,28.28,27.94,28.18,32580
18-Apr-13,27.75,28.00,27.53,27.83,30598
17-Apr-13,27.84,27.90,27.23,27.62,48603
16-Apr-13,27.55,28.08,27.55,27.88,83986
15-Apr-13,28.19,28.39,27.28,27.28,61928
12-Apr-13,28.69,28.79,28.04,28.24,64133
11-Apr-13,29.04,29.04,28.51,28.57,62617
10-Apr-13,28.95,28.95,28.62,28.88,42763
9-Apr-13,28.84,28.87,28.44,28.86,39296
8-Apr-13,28.24,28.59,28.20,28.59,32962
5-Apr-13,27.76,28.15,27.66,28.15,17996
4-Apr-13,28.32,28.33,27.95,28.09,34384
3-Apr-13,28.28,28.32,27.90,28.30,56131
2-Apr-13,27.95,28.18,27.86,28.18,46673
1-Apr-13,27.95,27.95,27.74,27.78,17557
28-Mar-13,27.74,27.97,27.69,27.84,43193
27-Mar-13,27.72,27.85,27.55,27.65,27364
26-Mar-13,27.60,27.80,27.54,27.74,38590
25-Mar-13,27.55,27.73,27.41,27.48,30568
22-Mar-13,27.25,27.49,27.23,27.40,49173
21-Mar-13,27.29,27.49,27.10,27.11,48480
20-Mar-13,27.05,27.29,26.87,27.24,40769
19-Mar-13,26.98,27.31,26.85,26.86,30191
18-Mar-13,27.18,27.18,26.79,26.87,36967
15-Mar-13,27.25,27.34,27.05,27.19,39013
14-Mar-13,27.19,27.39,27.11,27.15,28348
13-Mar-13,27.35,27.40,27.00,27.12,62360
12-Mar-13,27.25,27.42,26.91,27.22,34693
11-Mar-13,27.59,27.65,27.20,27.25,36979
8-Mar-13,27.53,27.64,27.24,27.43,56213
7-Mar-13,27.47,27.50,26.75,27.26,47178
6-Mar-13,27.84,27.92,27.17,27.34,53827
5-Mar-13,27.78,28.10,27.70,27.95,144580
4-Mar-13,27.16,27.58,27.09,27.58,33553
1-Mar-13,27.15,27.39,27.07,27.25,41261
28-Feb-13,26.97,27.28,26.84,27.15,76481
27-Feb-13,26.55,26.96,26.55,26.93,89038
26-Feb-13,26.70,26.70,26.42,26.58,70560
25-Feb-13,26.52,26.74,25.90,26.50,73006
22-Feb-13,26.91,26.92,26.50,26.76,27788
21-Feb-13,26.80,26.84,26.23,26.76,75485
20-Feb-13,27.15,27.25,26.76,26.90,51326
19-Feb-13,26.99,27.14,26.91,27.03,52702
15-Feb-13,27.72,27.78,27.14,27.25,86208
14-Feb-13,27.49,27.68,26.66,27.58,106543
13-Feb-13,27.35,27.49,27.33,27.47,36426
12-Feb-13,27.16,27.39,27.11,27.28,68403
11-Feb-13,26.94,27.13,26.93,27.09,84760
8-Feb-13,26.86,26.98,26.83,26.92,38348
7-Feb-13,27.08,27.08,26.65,26.77,77728
6-Feb-13,27.13,27.13,26.93,27.01,41117
5-Feb-13,27.09,27.13,26.90,27.13,60425
4-Feb-13,26.92,27.00,26.84,26.89,88779
1-Feb-13,26.97,27.14,26.86,26.97,82593
31-Jan-13,26.93,27.00,26.73,26.95,63593
30-Jan-13,27.09,27.16,26.73,26.80,45835
29-Jan-13,26.64,27.00,26.59,26.98,61970
28-Jan-13,26.64,26.90,26.37,26.50,41212
25-Jan-13,26.82,26.97,26.67,26.70,54466
24-Jan-13,26.79,26.86,26.48,26.72,40918
23-Jan-13,26.60,26.80,26.56,26.66,36914
22-Jan-13,26.55,26.75,26.47,26.65,40297
18-Jan-13,26.44,26.47,26.30,26.42,30059
17-Jan-13,26.24,26.53,26.24,26.31,85140
16-Jan-13,26.13,26.29,26.02,26.24,56089
15-Jan-13,26.10,26.14,26.00,26.09,40159
14-Jan-13,26.17,26.17,25.84,26.09,58846
11-Jan-13,25.94,26.12,25.72,26.07,83565
10-Jan-13,25.55,25.99,25.50,25.80,52961
9-Jan-13,25.58,25.80,25.39,25.44,78677
8-Jan-13,25.45,25.81,25.42,25.50,95655
7-Jan-13,25.09,25.45,25.09,25.45,27833
4-Jan-13,25.20,25.41,25.12,25.31,34780
3-Jan-13,25.11,25.48,24.73,25.24,67019
2-Jan-13,24.56,24.99,24.50,24.99,29445
31-Dec-12,24.09,24.47,24.02,24.38,20334
28-Dec-12,24.08,24.19,23.92,23.99,29072
27-Dec-12,24.19,24.19,23.87,24.14,48361
26-Dec-12,23.98,24.17,23.80,24.17,48079
24-Dec-12,23.90,24.19,23.66,23.85,37412
21-Dec-12,23.81,24.22,23.51,23.97,65434
20-Dec-12,24.23,24.23,23.83,23.99,67891
19-Dec-12,23.99,24.14,23.76,24.11,73417
18-Dec-12,23.71,24.10,23.67,23.88,53242
17-Dec-12,24.34,24.34,23.66,23.84,57544
14-Dec-12,24.16,24.30,24.01,24.20,39565
13-Dec-12,24.25,24.56,24.17,24.35,26018
12-Dec-12,24.45,24.83,24.24,24.27,70661
11-Dec-12,24.36,24.54,24.12,24.32,43424
10-Dec-12,24.57,24.75,24.06,24.13,40442
7-Dec-12,24.55,24.62,24.23,24.47,24294
6-Dec-12,24.38,24.38,24.20,24.36,24070
5-Dec-12,24.35,24.38,24.18,24.38,27549
4-Dec-12,24.31,24.34,23.85,24.26,65540
3-Dec-12,24.38,24.38,24.06,24.19,25837
30-Nov-12,24.23,24.40,24.00,24.15,44964
29-Nov-12,24.18,24.33,24.01,24.09,40197
28-Nov-12,23.85,23.99,23.70,23.91,66286
27-Nov-12,24.28,24.44,23.69,23.88,93771
26-Nov-12,24.07,24.48,23.99,24.19,53574
23-Nov-12,24.35,24.80,24.26,24.26,11327
21-Nov-12,24.30,24.36,23.97,24.05,48905
20-Nov-12,24.74,24.74,23.63,24.00,68316
19-Nov-12,24.38,25.04,24.38,24.90,112267
16-Nov-12,23.14,24.30,23.14,24.18,63928
15-Nov-12,23.00,23.46,22.10,22.85,60676
14-Nov-12,23.72,24.10,23.14,23.14,70943
13-Nov-12,24.00,24.00,23.52,23.54,51488
12-Nov-12,24.79,24.86,24.21,24.27,33474
9-Nov-12,24.79,24.79,24.34,24.68,49312
8-Nov-12,25.14,25.16,24.61,24.73,47893
7-Nov-12,25.14,25.22,24.82,24.90,40333
6-Nov-12,25.17,25.21,24.98,25.15,16634
