Date, Open, High, Low, Close, Volume
17-May-13,0.14,0.14,0.12,0.13,53640
16-May-13,0.15,0.15,0.13,0.13,55600
15-May-13,0.15,0.15,0.13,0.15,102000
14-May-13,0.14,0.16,0.13,0.14,60150
13-May-13,0.19,0.19,0.14,0.14,41038
10-May-13,0.17,0.17,0.15,0.15,27151
9-May-13,0.14,0.17,0.13,0.17,78803
8-May-13,0.13,0.14,0.12,0.14,98902
7-May-13,0.15,0.15,0.11,0.12,43550
6-May-13,0.15,0.15,0.14,0.14,1100
3-May-13,0.14,0.15,0.13,0.14,131606
2-May-13,0.19,0.19,0.11,0.13,47079
1-May-13,0.20,0.20,0.11,0.15,33954
30-Apr-13,0.15,0.16,0.10,0.13,66800
29-Apr-13,0.17,0.17,0.14,0.14,33147
26-Apr-13,0.16,0.17,0.14,0.16,40500
25-Apr-13,0.15,0.19,0.14,0.16,113670
24-Apr-13,0.20,0.20,0.15,0.17,45300
23-Apr-13,0.19,0.19,0.19,0.19,5810
22-Apr-13,0.18,0.20,0.18,0.19,2360
19-Apr-13,0.20,0.20,0.15,0.18,39898
18-Apr-13,0.21,0.22,0.15,0.20,50150
17-Apr-13,0.21,0.21,0.21,0.21,2110
16-Apr-13,0.23,0.23,0.21,0.23,21500
15-Apr-13,0.23,0.23,0.23,0.23,26100
12-Apr-13,0.23,0.23,0.23,0.23,2000
11-Apr-13,0.22,0.23,0.20,0.23,43419
10-Apr-13,0.22,0.23,0.22,0.22,3906
9-Apr-13,0.26,0.27,0.20,0.23,44679
8-Apr-13,0.24,0.25,0.20,0.25,10422
5-Apr-13,0.22,0.22,0.20,0.20,5100
4-Apr-13,0.21,0.21,0.21,0.21,3800
3-Apr-13,0.20,0.20,0.20,0.20,3250
2-Apr-13,0.23,0.23,0.21,0.21,4840
1-Apr-13,0.23,0.23,0.20,0.23,26040
28-Mar-13,0.22,0.22,0.20,0.21,1060
27-Mar-13,0.22,0.25,0.22,0.23,10654
26-Mar-13,-,-,-,0.21,0
25-Mar-13,0.20,0.21,0.20,0.21,11400
22-Mar-13,0.22,0.24,0.20,0.21,27155
21-Mar-13,0.24,0.26,0.20,0.21,28045
20-Mar-13,-,-,-,0.23,0
19-Mar-13,0.28,0.29,0.21,0.23,40077
18-Mar-13,0.30,0.30,0.20,0.23,20931
15-Mar-13,0.27,0.37,0.24,0.24,78225
14-Mar-13,0.22,0.24,0.22,0.24,5084
13-Mar-13,0.22,0.22,0.22,0.22,1400
12-Mar-13,0.21,0.22,0.21,0.22,600
11-Mar-13,0.20,0.23,0.20,0.20,1980
8-Mar-13,0.20,0.21,0.20,0.21,14650
7-Mar-13,0.23,0.23,0.20,0.22,19125
6-Mar-13,0.22,0.23,0.20,0.23,13705
5-Mar-13,0.24,0.24,0.24,0.24,600
4-Mar-13,0.26,0.26,0.20,0.23,4520
1-Mar-13,0.30,0.30,0.28,0.28,4300
28-Feb-13,0.27,0.30,0.27,0.28,4625
27-Feb-13,0.24,0.25,0.23,0.25,8384
26-Feb-13,0.25,0.25,0.24,0.25,10001
25-Feb-13,0.24,0.26,0.24,0.26,600
22-Feb-13,0.24,0.24,0.22,0.24,20495
21-Feb-13,0.25,0.26,0.25,0.25,3999
20-Feb-13,0.30,0.30,0.22,0.25,40825
19-Feb-13,0.24,0.29,0.24,0.29,1317
15-Feb-13,0.26,0.26,0.22,0.26,16590
14-Feb-13,0.29,0.29,0.25,0.26,9356
