Date, Open, High, Low, Close, Volume
17-May-13,36.00,36.34,36.00,36.31,83050
16-May-13,36.62,36.89,36.40,36.62,72490
15-May-13,36.76,36.76,36.28,36.37,152767
14-May-13,36.85,37.07,36.73,36.85,64697
13-May-13,37.13,37.15,36.82,37.00,74242
10-May-13,37.04,37.13,36.69,37.12,96345
9-May-13,36.87,37.48,36.87,36.93,108488
8-May-13,35.96,36.78,35.96,36.63,82486
7-May-13,36.16,36.21,35.91,35.95,164849
6-May-13,35.83,36.06,35.73,35.99,56753
3-May-13,36.17,36.24,35.74,35.86,57738
2-May-13,35.86,35.99,35.61,35.86,57252
1-May-13,35.56,35.98,35.56,35.88,153447
30-Apr-13,35.61,36.06,35.33,36.06,815970
29-Apr-13,35.17,35.59,35.09,35.55,124986
26-Apr-13,35.00,35.27,34.93,35.07,91297
25-Apr-13,35.10,35.22,34.81,34.98,146326
24-Apr-13,35.33,35.34,34.95,35.10,73054
23-Apr-13,35.40,35.52,35.11,35.25,74274
22-Apr-13,35.40,35.49,35.17,35.21,57843
19-Apr-13,34.92,35.37,34.80,35.31,73889
18-Apr-13,34.80,35.17,34.60,34.92,78436
17-Apr-13,34.68,35.84,34.06,34.61,177644
16-Apr-13,34.26,34.64,34.10,34.56,104392
15-Apr-13,34.44,34.92,34.12,34.13,81520
12-Apr-13,34.42,34.70,34.39,34.64,170584
11-Apr-13,34.56,34.68,34.38,34.48,72582
10-Apr-13,34.06,34.47,34.06,34.38,65270
9-Apr-13,34.04,34.12,33.77,33.98,182458
8-Apr-13,33.94,34.27,33.71,33.93,98184
5-Apr-13,33.88,34.05,33.64,33.87,193816
4-Apr-13,34.27,34.48,34.12,34.24,137504
3-Apr-13,34.61,34.78,34.00,34.16,158330
2-Apr-13,34.52,34.80,34.48,34.52,117214
1-Apr-13,34.49,34.50,34.18,34.33,133840
28-Mar-13,33.96,34.64,33.90,34.56,149852
27-Mar-13,34.20,34.22,33.88,33.98,429938
26-Mar-13,34.10,34.40,33.66,34.26,225296
25-Mar-13,34.26,34.45,33.86,33.94,63632
22-Mar-13,34.05,34.49,33.95,34.04,92172
21-Mar-13,34.30,34.34,33.93,33.96,58802
20-Mar-13,34.08,34.22,33.96,34.12,153170
19-Mar-13,33.97,34.02,33.74,33.86,67024
18-Mar-13,34.12,34.27,33.86,33.97,63030
15-Mar-13,33.70,34.27,33.70,34.18,144704
14-Mar-13,33.48,33.94,33.40,33.68,64740
13-Mar-13,33.76,33.82,33.18,33.28,105674
12-Mar-13,33.69,33.95,33.66,33.75,81966
