Date, Open, High, Low, Close, Volume
17-May-13,24.77,24.84,24.53,24.75,414503
16-May-13,25.00,25.25,24.63,24.75,319578
15-May-13,25.20,25.50,24.82,25.00,526335
14-May-13,24.30,25.53,24.21,25.24,557163
13-May-13,25.14,25.58,24.73,24.86,395454
10-May-13,24.99,25.50,24.78,25.30,524889
9-May-13,24.00,25.15,23.08,24.97,1731919
8-May-13,24.48,24.99,24.19,24.92,361023
7-May-13,24.40,24.50,24.17,24.48,256466
6-May-13,23.84,24.58,23.84,24.55,560209
3-May-13,23.63,23.97,23.62,23.86,574264
2-May-13,22.65,23.50,22.52,23.39,607670
1-May-13,22.90,23.23,22.54,22.55,331882
30-Apr-13,22.89,23.06,22.66,23.03,449231
29-Apr-13,22.68,23.07,22.59,22.91,435820
26-Apr-13,22.70,22.97,22.22,22.59,264763
25-Apr-13,22.51,23.24,22.40,22.71,300321
24-Apr-13,22.23,22.53,21.83,22.47,239554
23-Apr-13,21.78,22.32,21.70,22.23,377880
22-Apr-13,21.81,22.05,21.52,21.57,464829
19-Apr-13,21.23,21.77,21.13,21.73,381128
18-Apr-13,21.95,21.99,20.63,21.12,484661
17-Apr-13,21.50,22.13,21.34,21.93,653513
16-Apr-13,21.65,21.70,21.35,21.64,322067
15-Apr-13,22.43,22.43,21.24,21.37,639451
12-Apr-13,22.79,22.89,22.45,22.57,301762
11-Apr-13,22.29,23.06,22.18,22.93,528325
10-Apr-13,21.93,22.48,21.77,22.24,288461
9-Apr-13,22.23,22.23,21.79,21.81,298164
8-Apr-13,22.25,22.69,22.05,22.16,414931
5-Apr-13,21.92,22.69,21.52,22.67,1265282
4-Apr-13,21.35,22.21,21.31,22.14,524472
3-Apr-13,21.43,21.79,21.35,21.50,1050396
2-Apr-13,21.05,21.38,20.98,21.28,738027
1-Apr-13,21.00,21.19,20.88,20.92,1054605
28-Mar-13,20.77,21.20,20.70,20.94,7846013
27-Mar-13,22.48,22.69,21.28,21.81,1407333
26-Mar-13,23.20,23.28,23.00,23.15,90031
25-Mar-13,23.27,23.50,22.65,23.11,302824
22-Mar-13,23.85,24.11,23.02,23.12,282173
21-Mar-13,22.35,23.75,21.80,23.73,1664514
20-Mar-13,23.42,24.04,23.05,23.84,823824
19-Mar-13,23.01,24.13,22.93,23.33,318727
18-Mar-13,23.31,23.50,22.93,22.97,267847
15-Mar-13,24.33,24.33,23.65,23.69,260253
14-Mar-13,23.92,24.28,23.64,24.26,275447
13-Mar-13,23.45,23.98,23.40,23.95,147805
12-Mar-13,23.68,23.82,23.05,23.49,271770
11-Mar-13,23.31,23.85,23.31,23.82,146567
8-Mar-13,24.73,24.73,23.54,23.76,287536
7-Mar-13,24.50,24.76,24.33,24.49,341073
6-Mar-13,24.10,24.58,23.93,24.48,676850
5-Mar-13,23.89,24.16,23.70,24.06,900852
4-Mar-13,23.42,23.76,23.04,23.76,266799
1-Mar-13,23.43,23.82,23.08,23.58,212296
28-Feb-13,23.35,23.75,23.07,23.64,309573
27-Feb-13,22.04,23.49,21.90,23.06,384562
26-Feb-13,23.90,23.90,22.14,22.24,831363
25-Feb-13,23.23,23.55,23.04,23.22,323949
22-Feb-13,22.57,23.14,22.27,23.03,569683
21-Feb-13,22.81,23.00,22.04,22.40,288766
20-Feb-13,23.23,23.33,22.86,22.91,314469
19-Feb-13,22.47,23.55,22.47,23.18,371780
15-Feb-13,22.01,22.48,21.98,22.33,310323
14-Feb-13,22.28,22.46,21.72,21.99,346310
13-Feb-13,22.77,22.94,22.12,22.35,477734
12-Feb-13,22.73,22.90,22.31,22.76,235594
