Date, Open, High, Low, Close, Volume
17-May-13,11.87,12.19,11.81,12.16,244888
16-May-13,11.90,12.12,11.75,11.83,367663
15-May-13,12.05,12.14,11.90,12.00,258984
14-May-13,12.12,12.41,11.94,12.17,237703
13-May-13,11.75,12.19,11.56,12.19,328723
10-May-13,11.88,12.13,11.73,11.85,434826
9-May-13,12.28,12.28,11.29,11.90,517608
8-May-13,12.56,12.61,12.31,12.37,329129
7-May-13,12.59,12.70,12.40,12.54,167418
6-May-13,12.60,12.70,12.32,12.53,150735
3-May-13,12.79,12.95,12.55,12.64,243905
2-May-13,12.45,12.56,12.21,12.46,306010
1-May-13,12.19,12.45,12.05,12.30,334436
30-Apr-13,12.00,12.60,11.75,12.31,637826
29-Apr-13,12.19,12.25,11.85,12.04,355991
26-Apr-13,12.44,12.55,11.95,12.05,429002
25-Apr-13,11.80,13.00,11.69,12.50,686761
24-Apr-13,11.89,12.00,11.33,11.63,263843
23-Apr-13,11.56,12.00,11.51,11.84,332279
22-Apr-13,11.50,11.63,11.01,11.41,301826
19-Apr-13,11.11,11.59,10.96,11.50,254031
18-Apr-13,11.76,11.86,10.84,11.12,717078
17-Apr-13,11.80,11.96,11.51,11.68,422185
16-Apr-13,11.63,12.22,11.16,11.96,575391
15-Apr-13,13.06,13.10,11.52,11.59,595883
12-Apr-13,12.64,13.25,12.23,13.10,700334
11-Apr-13,11.62,13.18,11.62,12.78,1119741
10-Apr-13,10.34,11.64,10.33,11.55,777970
9-Apr-13,10.80,10.80,10.30,10.33,200365
8-Apr-13,10.38,10.71,10.22,10.71,207018
5-Apr-13,10.01,10.39,10.01,10.38,219476
4-Apr-13,10.28,10.29,10.10,10.26,241217
3-Apr-13,10.63,10.63,10.06,10.25,500190
2-Apr-13,10.70,10.84,10.53,10.63,468039
1-Apr-13,11.00,11.04,10.62,10.68,391548
28-Mar-13,10.79,11.14,10.65,10.99,334131
27-Mar-13,10.60,10.79,10.41,10.76,192209
26-Mar-13,10.79,10.79,10.53,10.69,199179
