Date, Open, High, Low, Close, Volume
17-May-13,0.44,0.45,0.40,0.43,995342
16-May-13,0.44,0.44,0.40,0.41,582775
15-May-13,0.45,0.45,0.39,0.43,1127945
14-May-13,0.43,0.44,0.40,0.40,527678
13-May-13,0.42,0.42,0.41,0.41,212623
10-May-13,0.41,0.42,0.40,0.42,210487
9-May-13,0.41,0.42,0.40,0.41,163237
8-May-13,0.41,0.42,0.40,0.40,334710
7-May-13,0.44,0.44,0.40,0.42,180027
6-May-13,0.41,0.43,0.40,0.41,132230
3-May-13,0.41,0.42,0.41,0.42,176833
2-May-13,0.43,0.44,0.42,0.42,117455
1-May-13,0.41,0.44,0.40,0.43,120930
30-Apr-13,0.44,0.47,0.41,0.42,409873
29-Apr-13,0.43,0.46,0.43,0.44,223944
26-Apr-13,0.46,0.46,0.43,0.43,182232
25-Apr-13,0.46,0.48,0.44,0.45,310020
24-Apr-13,0.45,0.45,0.41,0.44,39276
23-Apr-13,0.44,0.46,0.41,0.44,207095
22-Apr-13,0.40,0.46,0.40,0.44,264231
19-Apr-13,0.42,0.42,0.39,0.40,147271
18-Apr-13,0.43,0.43,0.39,0.41,86536
17-Apr-13,0.43,0.43,0.40,0.41,279187
16-Apr-13,0.44,0.45,0.41,0.42,305445
15-Apr-13,0.47,0.48,0.42,0.43,401876
12-Apr-13,0.46,0.46,0.45,0.46,233565
11-Apr-13,0.45,0.49,0.45,0.46,527608
10-Apr-13,0.46,0.48,0.44,0.45,501862
9-Apr-13,0.50,0.51,0.46,0.46,944838
8-Apr-13,0.45,0.49,0.44,0.47,667192
5-Apr-13,0.44,0.45,0.44,0.44,219836
4-Apr-13,0.44,0.46,0.44,0.46,181350
3-Apr-13,0.46,0.47,0.41,0.46,692939
2-Apr-13,0.50,0.50,0.47,0.47,276536
1-Apr-13,0.50,0.50,0.48,0.49,366251
28-Mar-13,0.53,0.54,0.47,0.48,1622095
27-Mar-13,0.50,0.60,0.50,0.53,161554
26-Mar-13,0.57,0.59,0.51,0.51,763067
25-Mar-13,0.62,0.62,0.57,0.58,259428
22-Mar-13,0.61,0.64,0.57,0.58,364495
21-Mar-13,0.66,0.67,0.57,0.57,764421
20-Mar-13,0.72,0.73,0.66,0.68,207156
19-Mar-13,0.76,0.76,0.70,0.70,331005
18-Mar-13,0.72,0.74,0.69,0.71,96871
15-Mar-13,0.77,0.78,0.68,0.70,265976
14-Mar-13,0.82,0.82,0.71,0.77,342691
13-Mar-13,0.81,0.81,0.77,0.78,68358
12-Mar-13,0.82,0.82,0.80,0.80,84534
11-Mar-13,0.83,0.83,0.79,0.81,86959
8-Mar-13,0.80,0.84,0.76,0.80,195202
7-Mar-13,0.76,0.80,0.74,0.78,276597
6-Mar-13,0.76,0.78,0.74,0.76,202732
5-Mar-13,0.80,0.80,0.75,0.75,108297
4-Mar-13,0.78,0.85,0.75,0.76,225249
1-Mar-13,0.81,0.82,0.77,0.78,159142
28-Feb-13,0.85,0.88,0.82,0.82,162452
27-Feb-13,0.84,0.88,0.83,0.85,158182
26-Feb-13,0.91,0.91,0.85,0.86,192533
25-Feb-13,0.94,0.96,0.88,0.92,159717
22-Feb-13,0.94,0.96,0.90,0.96,239613
21-Feb-13,0.97,0.97,0.92,0.92,271402
20-Feb-13,0.96,1.02,0.90,0.97,575002
19-Feb-13,0.92,0.95,0.90,0.95,154202
15-Feb-13,0.90,0.91,0.88,0.90,243308
14-Feb-13,0.88,0.89,0.86,0.88,196819
13-Feb-13,0.85,0.89,0.85,0.86,336585
