Date, Open, High, Low, Close, Volume
17-May-13,47.71,48.15,47.52,48.00,94043
16-May-13,48.27,48.71,46.86,47.32,113680
15-May-13,49.27,49.28,47.84,48.56,124114
14-May-13,48.65,49.30,48.65,49.28,81384
13-May-13,47.20,48.46,46.72,48.46,150328
10-May-13,45.54,46.93,45.54,46.93,67807
9-May-13,45.10,45.77,45.10,45.77,39151
8-May-13,44.95,45.27,44.81,45.18,73776
7-May-13,44.58,44.88,44.51,44.88,80109
6-May-13,44.55,44.80,44.51,44.60,63013
3-May-13,44.55,44.91,44.43,44.60,82135
2-May-13,44.26,44.66,44.26,44.45,98478
1-May-13,44.52,44.63,44.28,44.30,57361
30-Apr-13,44.73,44.83,44.21,44.64,115355
29-Apr-13,44.93,45.20,44.14,44.89,87786
26-Apr-13,45.31,45.61,45.08,45.20,66230
25-Apr-13,45.79,45.79,45.20,45.49,72392
24-Apr-13,46.01,46.17,45.48,45.49,133672
23-Apr-13,46.82,46.98,46.21,46.21,97510
22-Apr-13,47.47,47.72,46.89,46.89,100560
19-Apr-13,46.88,47.61,46.87,47.59,24673
18-Apr-13,46.98,47.45,46.73,46.95,67637
17-Apr-13,46.80,47.45,46.72,47.00,45969
16-Apr-13,46.60,47.25,46.44,47.23,77182
15-Apr-13,46.77,46.81,46.23,46.35,42720
12-Apr-13,46.56,47.08,46.46,47.03,56203
11-Apr-13,46.40,47.15,46.27,46.92,66349
10-Apr-13,46.79,47.11,46.38,46.46,37650
9-Apr-13,45.98,46.76,45.82,46.76,56654
8-Apr-13,45.83,46.54,45.83,46.37,39316
5-Apr-13,46.20,46.32,45.75,45.84,79826
4-Apr-13,47.30,47.57,46.19,46.42,101188
3-Apr-13,49.24,49.24,47.11,47.28,93949
2-Apr-13,48.83,49.34,48.65,48.65,67427
1-Apr-13,49.39,49.39,48.58,48.80,89711
28-Mar-13,50.10,50.63,49.30,49.38,111745
27-Mar-13,49.98,50.10,49.76,50.10,72558
26-Mar-13,49.14,50.19,49.06,50.00,140344
25-Mar-13,48.71,48.90,48.36,48.90,77546
22-Mar-13,48.57,48.95,47.73,48.49,80358
21-Mar-13,47.39,48.72,47.28,48.60,75043
20-Mar-13,46.66,47.41,46.54,47.41,36164
19-Mar-13,46.04,46.60,46.04,46.53,39205
18-Mar-13,45.55,46.26,45.51,46.22,43061
15-Mar-13,45.68,46.07,45.61,45.80,62084
14-Mar-13,45.96,45.96,45.22,45.85,52376
13-Mar-13,45.55,45.95,45.42,45.51,86460
12-Mar-13,45.85,45.94,45.41,45.51,45541
11-Mar-13,45.85,46.45,45.65,45.70,71505
8-Mar-13,45.85,46.24,45.70,46.11,47239
7-Mar-13,46.40,46.40,45.60,45.70,45113
6-Mar-13,46.87,47.00,46.13,46.17,64900
5-Mar-13,47.68,47.77,46.81,46.97,84515
4-Mar-13,47.49,48.28,47.33,47.33,167414
1-Mar-13,47.14,48.21,46.40,47.45,131877
28-Feb-13,47.02,47.43,46.95,47.25,64939
27-Feb-13,46.78,47.25,46.64,47.16,88562
26-Feb-13,45.55,47.14,45.53,46.92,159228
25-Feb-13,45.31,45.73,45.28,45.40,68592
22-Feb-13,45.26,45.58,45.03,45.22,39025
21-Feb-13,44.74,45.01,44.40,45.01,70922
20-Feb-13,45.02,45.75,44.78,44.98,71859
19-Feb-13,45.22,45.37,44.55,44.96,56832
15-Feb-13,45.15,45.69,44.95,45.53,70096
14-Feb-13,43.98,45.17,43.87,45.15,109038
13-Feb-13,43.60,43.99,43.35,43.99,49043
12-Feb-13,44.83,45.12,43.51,43.61,187103
11-Feb-13,45.34,45.49,44.72,44.89,77471
8-Feb-13,45.38,45.51,45.03,45.18,39303
7-Feb-13,45.10,45.48,44.78,45.18,73493
6-Feb-13,44.85,45.39,44.65,44.99,80668
5-Feb-13,44.35,44.84,44.22,44.81,72239
4-Feb-13,44.24,44.36,43.87,44.35,64477
1-Feb-13,44.25,44.53,44.17,44.36,58261
31-Jan-13,43.52,44.24,43.44,43.98,82342
30-Jan-13,43.28,43.60,43.09,43.41,43672
29-Jan-13,42.57,43.29,42.57,43.20,76839
28-Jan-13,43.38,43.38,42.58,43.00,106015
25-Jan-13,42.70,43.26,42.61,43.26,68823
24-Jan-13,42.35,42.50,42.20,42.44,37726
23-Jan-13,42.46,42.61,42.16,42.30,53086
22-Jan-13,41.82,42.48,41.82,42.39,71706
18-Jan-13,41.28,41.99,41.13,41.90,56054
17-Jan-13,41.00,41.50,40.94,41.42,59773
16-Jan-13,40.46,40.97,40.26,40.86,105184
15-Jan-13,40.25,40.81,40.13,40.60,108172
14-Jan-13,39.66,40.63,39.66,40.44,59224
11-Jan-13,40.50,40.63,40.01,40.29,53721
10-Jan-13,40.57,40.79,40.31,40.37,86215
9-Jan-13,39.83,40.50,39.81,40.50,86786
8-Jan-13,39.90,40.44,39.60,39.81,71164
7-Jan-13,39.65,40.12,39.61,40.09,67661
4-Jan-13,40.06,40.27,39.75,39.89,70859
3-Jan-13,39.10,40.20,39.10,40.06,77947
2-Jan-13,38.30,39.61,38.30,39.49,82354
31-Dec-12,36.93,38.00,36.80,37.90,92560
28-Dec-12,37.35,37.56,37.00,37.13,80278
27-Dec-12,37.40,37.55,37.26,37.39,95340
26-Dec-12,37.70,37.80,37.27,37.31,62926
24-Dec-12,38.36,38.36,37.48,37.50,70494
21-Dec-12,37.93,38.70,37.93,38.30,115787
20-Dec-12,38.40,38.90,38.27,38.43,86842
19-Dec-12,37.65,38.49,37.53,38.49,116852
18-Dec-12,37.68,38.22,37.50,37.72,129842
17-Dec-12,37.75,38.18,37.24,37.82,248777
14-Dec-12,38.32,38.49,37.65,37.87,67752
13-Dec-12,38.42,38.79,38.20,38.40,45873
12-Dec-12,39.03,39.38,38.44,38.55,81963
11-Dec-12,39.18,39.56,38.87,39.08,111146
10-Dec-12,38.86,39.32,38.75,38.94,50534
7-Dec-12,38.92,39.23,38.82,39.05,45780
6-Dec-12,38.53,38.73,38.09,38.73,61084
5-Dec-12,38.88,38.90,38.50,38.54,75969
4-Dec-12,38.87,39.15,38.67,38.94,42115
3-Dec-12,39.33,40.04,39.03,39.03,46481
30-Nov-12,39.05,39.49,38.91,39.17,47953
29-Nov-12,38.73,39.00,38.73,38.85,72329
28-Nov-12,38.74,39.10,38.66,38.90,80984
27-Nov-12,39.17,39.56,38.29,38.84,88880
26-Nov-12,40.18,40.18,39.05,39.36,85713
23-Nov-12,40.10,40.15,39.91,39.96,40969
21-Nov-12,40.20,40.35,39.59,39.82,53957
20-Nov-12,40.18,40.48,39.73,40.00,47308
19-Nov-12,40.50,41.24,40.50,40.65,65017
16-Nov-12,39.52,40.75,39.26,40.28,80444
15-Nov-12,39.89,40.09,38.83,39.50,80495
14-Nov-12,40.24,40.69,39.79,39.89,58779
13-Nov-12,40.36,40.36,39.68,40.01,44173
12-Nov-12,40.94,41.20,40.32,40.39,49776
9-Nov-12,41.05,41.67,40.81,41.08,138579
