Date, Open, High, Low, Close, Volume
17-May-13,0.70,0.76,0.70,0.76,140160
16-May-13,0.69,0.70,0.68,0.70,45335
15-May-13,0.75,0.75,0.68,0.69,37690
14-May-13,0.68,0.70,0.68,0.68,44974
13-May-13,0.69,0.70,0.69,0.69,31704
10-May-13,0.68,0.70,0.68,0.69,9208
9-May-13,0.70,0.70,0.68,0.68,19600
8-May-13,0.68,0.70,0.68,0.68,27868
7-May-13,0.68,0.69,0.68,0.69,24456
6-May-13,0.68,0.69,0.68,0.68,91152
3-May-13,0.70,0.70,0.68,0.68,40024
2-May-13,0.68,0.70,0.68,0.70,28500
1-May-13,0.68,0.70,0.68,0.68,18028
30-Apr-13,0.70,0.70,0.68,0.70,16979
29-Apr-13,0.68,0.70,0.68,0.68,17356
26-Apr-13,0.70,0.71,0.68,0.68,29150
25-Apr-13,0.68,0.71,0.68,0.70,78171
24-Apr-13,0.68,0.70,0.68,0.68,8668
23-Apr-13,0.68,0.72,0.68,0.68,9367
22-Apr-13,0.70,0.70,0.68,0.68,47185
19-Apr-13,0.68,0.71,0.68,0.70,5565
18-Apr-13,0.68,0.71,0.68,0.68,15318
17-Apr-13,0.70,0.71,0.70,0.70,2300
16-Apr-13,0.69,0.71,0.68,0.70,38465
15-Apr-13,0.73,0.75,0.69,0.69,10550
12-Apr-13,0.68,0.73,0.68,0.72,41744
11-Apr-13,0.70,0.72,0.68,0.70,58350
10-Apr-13,0.71,0.75,0.68,0.72,168474
9-Apr-13,0.72,0.72,0.71,0.72,13800
8-Apr-13,0.73,0.74,0.72,0.72,47505
5-Apr-13,0.75,0.75,0.73,0.73,49516
4-Apr-13,0.75,0.75,0.73,0.73,34876
3-Apr-13,0.74,0.74,0.73,0.73,19565
2-Apr-13,0.73,0.74,0.73,0.73,70715
1-Apr-13,0.75,0.75,0.74,0.74,19078
28-Mar-13,0.73,0.76,0.73,0.74,24271
27-Mar-13,0.73,0.76,0.73,0.74,13725
26-Mar-13,0.73,0.77,0.73,0.73,34506
25-Mar-13,0.75,0.75,0.73,0.73,80836
22-Mar-13,0.73,0.77,0.73,0.75,48866
21-Mar-13,0.76,0.76,0.75,0.75,17844
20-Mar-13,0.76,0.77,0.76,0.77,53400
19-Mar-13,0.75,0.76,0.74,0.76,56087
18-Mar-13,0.75,0.77,0.74,0.77,22269
15-Mar-13,0.76,0.76,0.74,0.75,51328
14-Mar-13,0.76,0.76,0.73,0.73,19102
13-Mar-13,0.75,0.77,0.73,0.75,103770
12-Mar-13,0.73,0.74,0.73,0.73,123910
11-Mar-13,0.72,0.75,0.72,0.73,137465
8-Mar-13,0.74,0.74,0.73,0.74,89438
7-Mar-13,0.75,0.75,0.73,0.73,26877
6-Mar-13,0.75,0.75,0.73,0.75,21421
5-Mar-13,0.74,0.75,0.73,0.75,21132
4-Mar-13,0.73,0.74,0.72,0.73,45381
1-Mar-13,0.75,0.75,0.73,0.74,17504
28-Feb-13,0.76,0.76,0.73,0.75,52965
27-Feb-13,0.77,0.77,0.73,0.73,29428
26-Feb-13,0.74,0.75,0.73,0.75,24612
25-Feb-13,0.74,0.77,0.73,0.73,49056
22-Feb-13,0.76,0.77,0.73,0.75,51906
21-Feb-13,0.75,0.76,0.73,0.76,47350
20-Feb-13,0.73,0.75,0.71,0.75,108692
19-Feb-13,0.72,0.74,0.71,0.73,48934
15-Feb-13,0.72,0.73,0.71,0.71,55247
14-Feb-13,0.71,0.72,0.70,0.71,42852
13-Feb-13,0.74,0.74,0.72,0.73,31200
12-Feb-13,0.72,0.74,0.72,0.73,97040
11-Feb-13,0.74,0.74,0.72,0.72,31032
8-Feb-13,0.72,0.74,0.72,0.72,30411
7-Feb-13,0.73,0.74,0.72,0.74,30150
6-Feb-13,0.71,0.74,0.71,0.73,51512
5-Feb-13,0.72,0.74,0.72,0.74,61055
4-Feb-13,0.72,0.75,0.72,0.74,33687
1-Feb-13,0.74,0.74,0.72,0.72,148280
31-Jan-13,0.72,0.75,0.72,0.74,45947
30-Jan-13,0.76,0.79,0.73,0.73,76307
29-Jan-13,0.77,0.78,0.75,0.75,42827
28-Jan-13,0.78,0.80,0.75,0.77,84080
25-Jan-13,0.73,0.77,0.72,0.77,119997
24-Jan-13,0.74,0.75,0.72,0.72,40408
23-Jan-13,0.73,0.78,0.72,0.72,80890
22-Jan-13,0.72,0.76,0.72,0.74,22275
18-Jan-13,0.71,0.77,0.69,0.74,156292
17-Jan-13,0.71,0.77,0.71,0.71,113255
16-Jan-13,0.74,0.74,0.71,0.72,311038
15-Jan-13,0.74,0.77,0.72,0.74,101554
14-Jan-13,0.80,0.80,0.72,0.72,270859
11-Jan-13,0.76,0.81,0.75,0.80,38296
10-Jan-13,0.78,0.82,0.72,0.72,180903
9-Jan-13,0.83,0.83,0.75,0.78,174459
8-Jan-13,0.80,0.85,0.80,0.82,36810
7-Jan-13,0.84,0.84,0.82,0.82,43110
4-Jan-13,0.79,0.84,0.78,0.83,53635
3-Jan-13,0.78,0.82,0.77,0.80,34420
2-Jan-13,0.76,0.80,0.74,0.78,75179
31-Dec-12,0.80,0.80,0.70,0.76,270592
28-Dec-12,0.77,0.78,0.75,0.76,176005
27-Dec-12,0.89,0.89,0.75,0.77,213232
26-Dec-12,0.71,0.95,0.71,0.93,398307
24-Dec-12,0.71,0.73,0.70,0.71,51561
21-Dec-12,0.72,0.75,0.68,0.72,202365
20-Dec-12,0.73,0.76,0.71,0.73,89602
19-Dec-12,0.74,0.77,0.72,0.73,130632
18-Dec-12,0.72,0.78,0.72,0.74,94266
17-Dec-12,0.73,0.75,0.71,0.73,624144
14-Dec-12,0.76,0.79,0.75,0.77,67633
13-Dec-12,0.77,0.80,0.77,0.78,87654
12-Dec-12,0.82,0.84,0.77,0.77,220366
11-Dec-12,0.84,0.85,0.83,0.83,109221
10-Dec-12,0.85,0.86,0.84,0.84,222117
7-Dec-12,0.86,0.86,0.85,0.85,75543
6-Dec-12,0.87,0.88,0.84,0.85,92539
5-Dec-12,0.87,0.98,0.86,0.88,45709
4-Dec-12,0.90,0.90,0.87,0.87,40235
3-Dec-12,0.90,0.92,0.87,0.91,73032
30-Nov-12,0.88,0.94,0.88,0.90,24395
29-Nov-12,0.87,0.95,0.87,0.89,47850
28-Nov-12,0.88,0.95,0.87,0.88,50888
27-Nov-12,0.93,0.98,0.88,0.90,61098
26-Nov-12,0.99,0.99,0.92,0.93,16885
23-Nov-12,1.00,1.00,0.92,0.95,21317
21-Nov-12,0.94,0.98,0.92,0.92,23979
20-Nov-12,0.97,1.00,0.94,0.94,42310
19-Nov-12,0.99,1.03,0.95,0.97,42742
16-Nov-12,0.97,1.04,0.95,1.00,20162
15-Nov-12,1.05,1.07,0.98,0.98,13380
14-Nov-12,1.03,1.09,1.03,1.06,33896
13-Nov-12,0.96,1.03,0.96,1.00,117489
12-Nov-12,0.94,0.95,0.89,0.89,21816
9-Nov-12,0.94,0.96,0.88,0.96,34791
8-Nov-12,0.98,0.98,0.96,0.96,30041
7-Nov-12,0.96,1.01,0.96,1.00,47230
6-Nov-12,0.97,0.99,0.95,0.97,41354
5-Nov-12,0.91,0.99,0.89,0.93,43282
2-Nov-12,1.00,1.00,0.88,0.93,60960
1-Nov-12,0.88,0.93,0.85,0.88,63824
31-Oct-12,1.06,1.06,0.82,0.91,170728
26-Oct-12,1.21,1.26,0.90,1.00,320781
25-Oct-12,1.26,1.33,1.25,1.25,69570
24-Oct-12,1.33,1.35,1.16,1.26,80690
23-Oct-12,1.39,1.39,1.30,1.33,48036
22-Oct-12,1.36,1.40,1.35,1.39,67443
19-Oct-12,1.35,1.41,1.33,1.39,60133
18-Oct-12,1.35,1.44,1.35,1.39,84443
17-Oct-12,1.37,1.39,1.33,1.36,16966
16-Oct-12,1.35,1.40,1.26,1.40,64273
15-Oct-12,1.39,1.44,1.34,1.39,45394
12-Oct-12,1.32,1.36,1.30,1.36,19855
11-Oct-12,1.30,1.36,1.27,1.34,33932
10-Oct-12,1.22,1.32,1.22,1.25,51136
9-Oct-12,1.41,1.41,1.22,1.23,52900
8-Oct-12,1.36,1.41,1.31,1.39,49037
5-Oct-12,1.42,1.44,1.35,1.35,58061
4-Oct-12,1.39,1.44,1.35,1.38,42992
