Date, Open, High, Low, Close, Volume
17-May-13,12.72,12.87,12.68,12.78,132782
16-May-13,12.70,12.88,12.65,12.70,156105
15-May-13,12.65,12.90,12.61,12.83,261263
14-May-13,13.41,13.53,13.35,13.51,259123
13-May-13,13.57,13.61,13.48,13.59,195707
10-May-13,13.30,13.33,13.18,13.32,195476
9-May-13,13.50,13.50,13.21,13.30,300920
8-May-13,13.65,13.74,13.63,13.71,112873
7-May-13,13.90,13.91,13.60,13.75,169611
6-May-13,13.95,14.06,13.89,14.02,585730
3-May-13,13.88,13.99,13.80,13.89,237587
2-May-13,13.48,13.65,13.41,13.65,123809
1-May-13,13.62,13.73,13.54,13.65,93766
30-Apr-13,13.71,13.83,13.66,13.78,164787
29-Apr-13,13.53,13.64,13.48,13.59,246001
26-Apr-13,13.27,13.30,13.09,13.13,144894
25-Apr-13,12.99,13.11,12.96,12.98,211381
24-Apr-13,12.78,12.94,12.75,12.89,192588
23-Apr-13,12.61,12.72,12.55,12.65,203607
22-Apr-13,12.34,12.47,12.28,12.43,137123
19-Apr-13,12.31,12.35,12.17,12.27,181262
18-Apr-13,12.39,12.50,12.29,12.44,302626
17-Apr-13,13.13,13.14,12.88,13.06,130115
16-Apr-13,13.22,13.27,13.05,13.18,100888
15-Apr-13,13.33,13.36,13.09,13.14,187352
12-Apr-13,13.43,13.50,13.33,13.45,234720
11-Apr-13,13.27,13.37,13.17,13.25,135045
10-Apr-13,13.10,13.28,13.07,13.17,262179
9-Apr-13,12.69,12.79,12.58,12.75,118083
8-Apr-13,12.49,12.49,12.33,12.46,153164
5-Apr-13,12.48,12.55,12.39,12.54,131102
4-Apr-13,12.49,12.66,12.48,12.63,123950
3-Apr-13,12.55,12.62,12.36,12.42,162519
2-Apr-13,12.70,12.79,12.61,12.66,157841
1-Apr-13,12.67,12.73,12.54,12.58,128801
28-Mar-13,12.50,12.70,12.49,12.70,188142
27-Mar-13,12.27,12.37,12.20,12.32,288966
26-Mar-13,12.72,12.77,12.55,12.68,158602
25-Mar-13,12.96,12.99,12.61,12.65,197999
22-Mar-13,12.99,13.06,12.91,13.03,139147
21-Mar-13,12.87,13.06,12.74,12.75,218408
20-Mar-13,13.01,13.12,12.92,13.05,169411
19-Mar-13,12.94,12.98,12.69,12.83,210958
18-Mar-13,12.81,13.02,12.77,12.87,292771
15-Mar-13,13.08,13.18,12.79,12.87,1201447
14-Mar-13,13.29,13.33,13.18,13.29,216017
13-Mar-13,13.19,13.27,13.06,13.18,274226
12-Mar-13,13.55,13.58,13.27,13.37,316778
11-Mar-13,13.40,13.45,13.32,13.36,277192
8-Mar-13,13.82,13.83,13.62,13.72,250985
7-Mar-13,13.77,13.83,13.66,13.72,327369
6-Mar-13,13.69,13.80,13.52,13.61,345446
5-Mar-13,13.47,13.60,13.39,13.43,328070
4-Mar-13,13.30,13.39,13.10,13.35,526426
1-Mar-13,12.42,12.57,12.25,12.49,140499
28-Feb-13,12.57,12.68,12.47,12.62,247833
27-Feb-13,12.09,12.47,12.09,12.44,221599
26-Feb-13,11.98,12.09,11.76,11.87,182537
25-Feb-13,12.61,12.61,11.71,11.73,304062
22-Feb-13,12.07,12.10,11.98,12.04,121545
21-Feb-13,12.08,12.08,11.86,11.90,284984
20-Feb-13,12.52,12.56,12.27,12.35,221412
19-Feb-13,12.69,12.74,12.65,12.74,126514
15-Feb-13,12.46,12.56,12.41,12.49,168691
14-Feb-13,12.40,12.49,12.33,12.44,253621
13-Feb-13,13.11,13.17,12.93,12.96,151623
12-Feb-13,12.81,13.04,12.81,13.04,154154
11-Feb-13,12.94,12.94,12.76,12.79,117647
8-Feb-13,12.96,13.03,12.83,12.98,147986
7-Feb-13,13.15,13.16,12.73,12.92,278234
6-Feb-13,12.68,12.88,12.61,12.82,270235
5-Feb-13,12.78,12.84,12.66,12.73,184623
4-Feb-13,12.84,12.84,12.48,12.54,201487
1-Feb-13,12.82,12.93,12.75,12.87,152745
31-Jan-13,12.73,12.92,12.70,12.70,342037
30-Jan-13,12.90,12.93,12.74,12.80,175066
29-Jan-13,12.88,12.98,12.63,12.98,423049
28-Jan-13,12.86,12.87,12.73,12.79,382072
