Date, Open, High, Low, Close, Volume
16-May-13,5.02,5.02,5.02,5.02,600
14-May-13,5.00,5.03,4.99,5.01,3300
13-May-13,5.06,5.06,5.01,5.01,250
10-May-13,5.12,5.12,5.11,5.11,700
9-May-13,5.13,5.14,5.11,5.14,800
8-May-13,5.02,5.15,5.00,5.12,2527
7-May-13,5.40,5.40,4.92,5.02,3475
6-May-13,5.01,5.45,5.00,5.45,12152
3-May-13,4.75,5.25,4.72,5.09,40989
2-May-13,4.75,4.99,4.72,4.74,9531
1-May-13,4.98,4.99,4.91,4.91,1675
30-Apr-13,4.92,4.99,4.80,4.99,1938
29-Apr-13,4.98,4.98,4.75,4.75,1600
26-Apr-13,4.90,4.99,4.90,4.98,1300
25-Apr-13,4.75,4.85,4.75,4.85,2075
24-Apr-13,4.89,4.89,4.75,4.75,400
23-Apr-13,4.95,4.95,4.85,4.85,425
22-Apr-13,4.76,5.07,4.72,5.07,900
18-Apr-13,4.96,4.97,4.96,4.97,1400
16-Apr-13,4.83,4.83,4.83,4.83,156
15-Apr-13,5.04,5.08,4.77,4.77,1510
12-Apr-13,4.82,4.99,4.82,4.95,3712
11-Apr-13,4.73,4.82,4.73,4.77,600
9-Apr-13,4.89,4.92,4.72,4.92,5336
8-Apr-13,4.77,5.06,4.77,4.90,3094
5-Apr-13,4.91,4.95,4.84,4.84,2509
4-Apr-13,4.89,4.89,4.89,4.89,100
2-Apr-13,5.24,5.24,4.86,4.92,700
1-Apr-13,5.15,5.24,5.15,5.17,600
28-Mar-13,5.25,5.25,5.25,5.25,100
27-Mar-13,4.97,5.15,4.72,5.15,1413
26-Mar-13,5.14,5.14,4.97,4.97,925
22-Mar-13,5.12,5.24,5.05,5.07,1650
20-Mar-13,5.23,5.23,5.23,5.23,100
19-Mar-13,4.72,5.24,4.72,5.18,10448
18-Mar-13,5.21,5.22,5.14,5.14,2100
15-Mar-13,4.95,5.10,4.95,5.09,3131
14-Mar-13,5.05,5.12,4.80,4.91,11730
13-Mar-13,5.19,5.20,5.18,5.19,900
12-Mar-13,5.01,5.21,5.01,5.05,800
11-Mar-13,5.00,5.03,4.99,5.03,3600
8-Mar-13,5.03,5.08,5.03,5.08,2000
7-Mar-13,5.01,5.25,5.01,5.25,3900
6-Mar-13,5.03,5.22,5.03,5.22,1100
5-Mar-13,4.96,5.02,4.96,5.00,2170
4-Mar-13,5.05,5.25,5.05,5.24,4042
1-Mar-13,5.04,5.04,5.04,5.04,150
28-Feb-13,4.85,5.17,4.85,5.08,3170
27-Feb-13,5.25,5.25,5.15,5.25,4400
26-Feb-13,5.15,5.25,5.15,5.25,300
25-Feb-13,5.14,5.25,5.13,5.24,1214
21-Feb-13,5.13,5.23,5.10,5.23,1030
20-Feb-13,5.21,5.21,5.09,5.09,1000
19-Feb-13,5.10,5.49,5.01,5.24,18645
15-Feb-13,5.11,5.13,5.10,5.13,828
14-Feb-13,5.07,5.10,5.07,5.10,1097
13-Feb-13,5.17,5.20,5.01,5.05,4055
12-Feb-13,5.15,5.17,5.13,5.17,1544
11-Feb-13,5.13,5.13,5.13,5.13,1300
8-Feb-13,5.15,5.15,5.15,5.15,909
7-Feb-13,5.18,5.19,5.15,5.15,3667
6-Feb-13,5.22,5.23,5.15,5.15,7543
5-Feb-13,5.22,5.23,5.22,5.23,632
4-Feb-13,5.22,5.37,5.22,5.23,2489
1-Feb-13,5.26,5.38,5.22,5.22,4187
31-Jan-13,5.22,5.22,5.22,5.22,308
30-Jan-13,5.16,5.22,5.15,5.22,2800
29-Jan-13,5.36,5.36,5.36,5.36,200
28-Jan-13,5.31,5.49,5.28,5.30,1401
25-Jan-13,5.29,5.52,5.29,5.52,1300
24-Jan-13,5.34,5.34,5.34,5.34,600
23-Jan-13,5.50,5.50,5.13,5.36,1625
22-Jan-13,5.19,5.35,5.13,5.16,3541
18-Jan-13,5.29,5.29,5.14,5.14,550
17-Jan-13,5.13,5.40,5.13,5.25,1367
16-Jan-13,5.12,5.40,5.10,5.40,5000
15-Jan-13,5.10,5.10,5.10,5.10,900
14-Jan-13,5.34,5.34,5.07,5.07,850
11-Jan-13,5.16,5.52,5.02,5.48,19105
9-Jan-13,5.08,5.08,5.05,5.05,1054
7-Jan-13,5.03,5.03,5.01,5.02,1451
4-Jan-13,5.04,5.09,5.00,5.08,2490
2-Jan-13,4.99,5.25,4.99,5.11,310
31-Dec-12,5.13,5.25,4.78,5.01,1043
28-Dec-12,5.04,5.06,4.86,5.06,3686
27-Dec-12,5.04,5.04,5.04,5.04,300
