Date, Open, High, Low, Close, Volume
17-May-13,33.70,34.40,32.26,33.14,475642
16-May-13,32.30,34.64,31.81,33.18,923280
15-May-13,37.40,37.75,31.26,31.81,2999105
14-May-13,32.03,34.01,31.25,33.50,1247305
13-May-13,31.26,33.15,30.79,31.55,785364
10-May-13,33.95,34.46,30.79,31.77,936975
9-May-13,34.00,35.00,33.55,33.76,291743
8-May-13,33.50,34.17,32.90,34.00,309504
7-May-13,33.32,33.85,32.81,33.79,290321
6-May-13,32.60,33.80,32.60,33.13,304365
3-May-13,33.40,34.49,31.98,32.90,379640
2-May-13,31.75,33.87,31.75,33.63,701962
1-May-13,30.56,31.67,30.56,31.67,400059
30-Apr-13,29.81,30.84,29.81,30.79,383197
29-Apr-13,29.38,29.93,28.69,29.81,324556
26-Apr-13,29.07,29.60,28.52,29.07,179559
25-Apr-13,29.75,29.85,28.80,29.24,300733
24-Apr-13,30.13,31.13,29.51,29.86,282087
23-Apr-13,29.69,30.12,28.80,30.00,300601
22-Apr-13,29.03,30.10,28.74,29.70,315458
19-Apr-13,28.15,29.20,27.66,28.64,394527
18-Apr-13,27.56,28.23,27.47,27.85,322183
17-Apr-13,28.12,28.39,27.36,27.68,285479
16-Apr-13,27.35,28.69,27.27,28.25,399113
15-Apr-13,27.47,27.88,26.67,27.20,281554
12-Apr-13,28.15,28.32,27.07,27.66,361190
11-Apr-13,28.72,28.94,27.40,28.45,386146
10-Apr-13,30.00,30.50,28.02,28.35,706273
9-Apr-13,31.20,31.57,28.90,29.99,816405
8-Apr-13,31.36,32.48,30.56,31.01,501876
5-Apr-13,30.24,31.80,29.83,31.48,472368
4-Apr-13,31.45,32.30,30.10,30.53,318711
3-Apr-13,29.65,30.28,28.81,29.65,447705
2-Apr-13,29.95,30.51,29.22,29.52,330375
1-Apr-13,30.25,30.78,29.59,29.85,391888
28-Mar-13,31.26,32.40,30.32,30.37,851112
27-Mar-13,29.64,31.64,29.05,31.12,629687
26-Mar-13,28.31,30.00,27.82,29.84,596407
25-Mar-13,29.23,29.23,27.35,28.57,247361
22-Mar-13,28.99,29.28,28.61,28.61,437916
21-Mar-13,29.60,29.60,28.11,28.94,226320
20-Mar-13,28.64,30.23,28.55,29.30,568534
19-Mar-13,27.50,29.40,27.12,28.69,1117973
18-Mar-13,26.96,28.49,26.80,27.12,616224
15-Mar-13,26.91,28.48,25.72,28.48,1195415
14-Mar-13,24.70,26.59,24.10,26.36,2990485
13-Mar-13,25.61,26.06,24.37,24.44,322686
12-Mar-13,25.97,26.50,24.86,25.87,409198
11-Mar-13,24.87,25.95,24.62,25.75,276780
8-Mar-13,25.17,25.47,24.20,24.34,170656
7-Mar-13,23.92,26.06,23.70,25.19,392033
6-Mar-13,25.43,25.50,23.27,23.58,330392
5-Mar-13,25.40,26.43,24.75,25.24,209534
4-Mar-13,27.95,27.95,24.26,25.40,216997
1-Mar-13,26.50,26.79,25.75,25.83,171019
28-Feb-13,26.80,27.69,25.21,25.88,444679
27-Feb-13,25.20,26.99,24.61,26.48,396676
26-Feb-13,27.54,27.54,24.20,25.60,992301
25-Feb-13,24.40,28.49,24.15,28.45,786237
22-Feb-13,22.24,27.22,21.80,24.42,1098491
21-Feb-13,22.90,23.00,21.58,22.65,248196
20-Feb-13,24.17,24.19,23.32,23.36,92016
19-Feb-13,24.89,24.89,23.54,24.38,111926
15-Feb-13,24.95,25.18,24.55,24.90,75209
14-Feb-13,25.17,25.18,24.71,24.95,84080
13-Feb-13,25.65,25.65,23.32,25.19,501463
12-Feb-13,25.29,25.29,24.73,25.19,52159
11-Feb-13,25.43,26.19,24.75,25.25,219299
8-Feb-13,24.34,25.99,22.36,25.63,455028
7-Feb-13,21.20,25.54,21.20,25.11,425870
6-Feb-13,18.43,21.05,18.39,20.56,434315
5-Feb-13,18.26,18.49,18.10,18.31,46056
4-Feb-13,18.92,19.04,18.03,18.36,102962
1-Feb-13,18.55,19.00,18.25,18.98,126158
31-Jan-13,19.11,19.11,17.45,18.57,141743
30-Jan-13,18.28,18.84,18.28,18.83,70206
29-Jan-13,19.50,19.50,17.96,18.28,194356
28-Jan-13,19.96,20.25,19.30,19.49,172079
25-Jan-13,22.20,22.42,19.90,19.96,225065
24-Jan-13,20.63,22.81,20.63,22.05,166274
23-Jan-13,20.05,21.00,19.79,20.84,183757
22-Jan-13,19.70,20.13,19.51,19.93,146699
18-Jan-13,20.50,20.50,19.20,19.88,83745
17-Jan-13,19.99,20.13,19.63,20.01,71661
16-Jan-13,20.00,20.15,19.60,19.72,119145
15-Jan-13,19.99,20.14,19.82,19.97,90366
14-Jan-13,19.90,20.29,18.95,19.81,248686
11-Jan-13,20.60,20.60,19.65,20.19,179565
10-Jan-13,19.72,20.80,19.51,20.55,305392
9-Jan-13,18.15,19.73,18.06,19.71,268005
8-Jan-13,18.12,18.64,17.93,18.03,92187
7-Jan-13,17.25,18.12,16.66,18.00,209957
4-Jan-13,17.47,17.53,16.55,16.60,46057
3-Jan-13,16.55,17.47,16.11,17.37,110510
2-Jan-13,17.99,18.13,15.65,16.52,286267
31-Dec-12,17.75,17.99,17.61,17.84,65288
28-Dec-12,17.50,17.97,17.12,17.79,72954
27-Dec-12,17.86,18.06,16.51,16.90,102253
