Date, Open, High, Low, Close, Volume
17-May-13,4.69,4.81,4.66,4.67,15160
16-May-13,4.77,4.82,4.64,4.74,29744
15-May-13,4.67,4.80,4.62,4.68,13221
14-May-13,4.80,4.99,4.55,4.66,74176
13-May-13,5.01,5.20,4.85,4.85,26060
10-May-13,5.01,5.21,5.01,5.19,21317
9-May-13,5.13,5.25,5.02,5.05,15634
8-May-13,5.33,5.40,5.02,5.26,24575
7-May-13,5.12,5.65,5.12,5.26,50541
6-May-13,5.13,5.31,5.10,5.13,20294
3-May-13,5.60,5.68,5.11,5.29,84758
2-May-13,5.69,5.74,5.20,5.55,49732
1-May-13,6.10,6.10,5.51,5.60,67502
30-Apr-13,5.83,6.13,5.83,5.95,53710
29-Apr-13,6.16,6.21,5.80,5.83,51064
26-Apr-13,5.26,6.20,5.26,6.12,101990
25-Apr-13,5.37,5.60,5.25,5.42,113868
24-Apr-13,6.52,7.29,5.11,5.59,282503
23-Apr-13,6.10,7.50,6.00,7.42,186764
22-Apr-13,5.50,6.00,5.50,6.00,93605
19-Apr-13,4.60,5.60,4.60,5.00,96422
18-Apr-13,4.50,4.90,4.50,4.50,64008
17-Apr-13,4.50,4.60,4.19,4.40,41531
16-Apr-13,4.10,4.50,4.00,4.30,68485
15-Apr-13,3.88,4.01,3.88,3.99,24872
12-Apr-13,3.70,3.88,3.70,3.88,11711
11-Apr-13,3.72,3.90,3.70,3.79,27871
10-Apr-13,3.40,4.16,3.40,3.72,5677
9-Apr-13,3.55,3.60,3.50,3.55,5826
8-Apr-13,3.42,3.60,3.42,3.55,16260
5-Apr-13,3.50,3.50,3.40,3.40,9707
4-Apr-13,3.52,3.52,3.50,3.52,5204
3-Apr-13,3.40,3.50,3.40,3.50,12951
2-Apr-13,3.40,3.50,3.40,3.42,22535
1-Apr-13,3.52,3.52,3.45,3.45,11878
28-Mar-13,3.50,3.65,3.50,3.65,12642
27-Mar-13,3.53,3.60,3.50,3.55,18988
26-Mar-13,3.70,3.72,3.60,3.60,6137
25-Mar-13,3.60,3.70,3.52,3.61,9120
