Date, Open, High, Low, Close, Volume
17-May-13,27.76,27.86,27.61,27.74,11087
16-May-13,27.76,27.76,27.49,27.67,11341
15-May-13,27.77,27.91,27.66,27.67,9936
14-May-13,27.90,27.95,27.71,27.86,27040
13-May-13,27.83,28.11,27.83,28.00,12789
10-May-13,27.75,27.93,27.75,27.90,30845
9-May-13,27.79,27.85,27.61,27.84,30255
8-May-13,27.75,27.90,27.75,27.90,23973
7-May-13,27.53,27.82,27.53,27.82,33441
6-May-13,27.56,27.69,27.54,27.65,11575
3-May-13,27.66,27.73,27.57,27.66,10832
2-May-13,27.43,27.96,27.34,27.73,34505
1-May-13,27.21,27.54,27.20,27.46,12735
30-Apr-13,27.63,27.75,27.32,27.32,24783
29-Apr-13,27.67,27.91,27.63,27.70,15069
26-Apr-13,27.72,27.86,27.67,27.75,17513
25-Apr-13,27.60,27.80,27.60,27.80,23370
24-Apr-13,27.63,27.74,27.58,27.61,23679
23-Apr-13,27.40,27.65,27.29,27.65,76426
22-Apr-13,27.20,27.46,27.20,27.28,73497
19-Apr-13,27.27,27.40,27.15,27.15,131362
18-Apr-13,27.29,27.38,27.26,27.36,18481
17-Apr-13,27.40,27.51,27.21,27.38,21250
16-Apr-13,27.25,27.53,27.25,27.53,21134
15-Apr-13,27.25,27.34,27.18,27.18,17534
12-Apr-13,27.27,27.32,27.26,27.26,19822
11-Apr-13,27.28,27.33,27.26,27.27,14306
10-Apr-13,27.37,27.45,27.22,27.23,11854
9-Apr-13,27.21,27.46,27.21,27.40,15483
8-Apr-13,27.16,27.30,27.14,27.24,23958
5-Apr-13,27.27,27.27,26.85,27.14,23373
4-Apr-13,27.20,27.38,27.19,27.28,25516
3-Apr-13,27.11,27.34,27.05,27.19,27141
2-Apr-13,27.50,27.65,27.13,27.20,29763
1-Apr-13,27.27,27.49,27.09,27.48,28825
28-Mar-13,27.28,27.36,27.12,27.12,126409
27-Mar-13,27.35,27.35,27.16,27.33,21174
26-Mar-13,27.48,27.51,27.23,27.35,23406
25-Mar-13,27.51,27.67,27.51,27.55,17395
22-Mar-13,27.42,27.56,27.42,27.55,9059
21-Mar-13,27.50,27.56,27.46,27.47,14412
20-Mar-13,27.48,27.56,27.48,27.54,8128
19-Mar-13,27.48,27.66,27.48,27.48,11140
18-Mar-13,27.48,27.74,27.48,27.52,11905
15-Mar-13,27.41,27.65,27.41,27.50,15279
14-Mar-13,27.42,27.52,27.34,27.50,16701
13-Mar-13,27.48,27.88,27.41,27.57,16992
12-Mar-13,27.75,27.92,27.75,27.92,14932
11-Mar-13,27.83,27.90,27.71,27.81,8096
8-Mar-13,27.75,28.01,27.75,27.84,15517
7-Mar-13,27.84,27.93,27.74,27.82,12587
6-Mar-13,27.93,27.93,27.75,27.88,15994
5-Mar-13,27.88,28.03,27.81,27.81,22476
4-Mar-13,27.70,27.91,27.70,27.80,16185
1-Mar-13,27.56,27.86,27.56,27.72,10606
28-Feb-13,27.82,27.96,27.58,27.58,33182
27-Feb-13,27.88,27.99,27.86,27.87,10980
26-Feb-13,27.86,28.00,27.86,27.95,18122
25-Feb-13,27.86,27.97,27.86,27.90,18934
22-Feb-13,27.82,27.91,27.82,27.86,14550
21-Feb-13,27.89,27.90,27.83,27.88,16676
20-Feb-13,27.86,27.92,27.80,27.88,15231
19-Feb-13,27.88,28.00,27.85,27.90,26680
15-Feb-13,27.78,27.86,27.68,27.76,28995
14-Feb-13,27.82,27.95,27.72,27.84,23888
13-Feb-13,27.83,28.00,27.64,27.94,19554
12-Feb-13,27.91,28.02,27.87,27.89,19969
11-Feb-13,27.87,27.93,27.80,27.92,25622
8-Feb-13,27.67,28.06,27.67,27.95,19786
7-Feb-13,27.53,27.74,27.45,27.74,14008
6-Feb-13,27.56,27.71,27.48,27.51,22782
5-Feb-13,27.46,27.70,27.46,27.63,21481
4-Feb-13,27.42,27.57,27.36,27.52,22307
1-Feb-13,27.39,27.50,27.39,27.49,40317
31-Jan-13,27.55,27.55,27.26,27.26,37632
30-Jan-13,27.56,27.92,27.56,27.61,19584
29-Jan-13,27.70,27.95,27.70,27.70,18130
28-Jan-13,27.87,27.98,27.50,27.70,40213
25-Jan-13,27.70,28.13,27.70,27.98,39605
24-Jan-13,27.82,27.93,27.66,27.80,19604
23-Jan-13,27.80,27.93,27.68,27.78,32510
22-Jan-13,27.84,27.84,27.56,27.67,46208
18-Jan-13,27.50,27.86,27.50,27.72,31933
17-Jan-13,27.47,27.63,27.47,27.57,25043
16-Jan-13,27.33,27.73,27.10,27.53,62674
15-Jan-13,27.51,27.59,27.27,27.47,31098
14-Jan-13,27.38,27.64,27.34,27.61,23842
11-Jan-13,27.44,27.62,27.21,27.49,50849
10-Jan-13,27.39,27.70,27.39,27.50,25348
9-Jan-13,27.32,27.50,27.24,27.46,29130
8-Jan-13,27.07,27.73,27.07,27.38,41874
7-Jan-13,26.99,27.24,26.97,27.19,83037
4-Jan-13,26.95,27.25,26.95,27.06,30242
3-Jan-13,26.90,27.08,26.90,26.97,35798
2-Jan-13,27.15,27.24,26.93,26.94,43751
31-Dec-12,26.96,27.08,26.94,27.08,18009
28-Dec-12,26.90,27.08,26.90,27.03,11078
27-Dec-12,26.95,27.02,26.89,27.02,9420
26-Dec-12,26.83,27.07,26.83,27.03,6098
24-Dec-12,26.82,26.95,26.80,26.95,11608
21-Dec-12,26.94,26.95,26.85,26.86,19940
20-Dec-12,26.97,27.03,26.89,26.95,17575
19-Dec-12,27.00,27.05,26.91,26.99,29401
18-Dec-12,27.00,27.00,26.90,27.00,16250
17-Dec-12,26.87,27.00,26.87,27.00,20438
14-Dec-12,26.90,27.04,26.80,26.90,28795
13-Dec-12,26.92,27.02,26.92,26.97,108280
12-Dec-12,26.99,27.10,26.82,27.03,39116
11-Dec-12,27.40,27.59,27.40,27.51,21287
10-Dec-12,27.36,27.55,27.36,27.39,44401
7-Dec-12,27.36,27.46,27.36,27.40,22970
6-Dec-12,27.36,27.52,27.27,27.36,39592
5-Dec-12,27.46,27.63,27.26,27.39,73237
4-Dec-12,27.41,27.49,27.37,27.44,8882
3-Dec-12,27.30,27.49,27.30,27.49,22564
30-Nov-12,27.50,27.73,27.45,27.46,16756
29-Nov-12,27.34,27.72,27.34,27.50,17485
28-Nov-12,27.20,27.40,27.18,27.35,51673
27-Nov-12,27.28,27.48,27.27,27.27,24910
26-Nov-12,27.48,27.58,27.30,27.35,25061
23-Nov-12,27.51,27.55,27.51,27.55,5956
21-Nov-12,27.53,27.64,27.46,27.48,11528
20-Nov-12,27.52,27.68,27.40,27.65,23677
19-Nov-12,27.24,27.65,27.24,27.65,26491
16-Nov-12,27.02,27.35,27.02,27.32,22072
15-Nov-12,27.24,27.35,26.72,27.07,45137
14-Nov-12,27.54,27.64,27.30,27.39,440071
13-Nov-12,27.47,27.58,27.40,27.57,26981
12-Nov-12,27.40,27.65,27.40,27.60,40923
9-Nov-12,27.44,27.64,27.21,27.53,65202
8-Nov-12,27.58,27.85,27.47,27.55,43610
7-Nov-12,27.71,27.92,27.63,27.70,33370
6-Nov-12,28.13,28.13,27.79,27.87,66736
5-Nov-12,28.07,28.21,27.90,28.05,40434
2-Nov-12,27.98,27.98,27.94,27.97,6052
1-Nov-12,27.82,27.96,27.82,27.94,14368
31-Oct-12,28.00,28.00,27.76,27.89,23763
26-Oct-12,27.73,27.93,27.67,27.90,8018
25-Oct-12,27.80,27.89,27.80,27.84,10108
24-Oct-12,27.95,27.98,27.82,27.92,29770
23-Oct-12,28.07,28.17,27.91,28.00,25668
22-Oct-12,28.12,28.15,28.10,28.14,13232
19-Oct-12,28.21,28.27,28.09,28.20,63497
18-Oct-12,27.73,28.43,27.71,28.22,112559
17-Oct-12,27.82,27.93,27.75,27.88,38864
16-Oct-12,27.78,27.98,27.78,27.89,36467
15-Oct-12,27.91,27.99,27.77,27.92,69057
12-Oct-12,27.72,28.04,27.61,28.04,109018
11-Oct-12,27.72,27.86,27.64,27.74,100995
10-Oct-12,27.61,27.82,27.61,27.81,20280
9-Oct-12,27.50,27.71,27.50,27.67,21726
8-Oct-12,27.63,27.63,27.50,27.52,12140
5-Oct-12,27.53,27.70,27.51,27.66,17272
4-Oct-12,27.71,27.74,27.50,27.60,198854
3-Oct-12,27.64,27.79,27.64,27.74,15380
2-Oct-12,27.63,27.80,27.59,27.70,26216
1-Oct-12,27.60,27.70,27.54,27.62,24280
28-Sep-12,27.69,27.69,27.44,27.45,23697
27-Sep-12,27.74,27.79,27.51,27.52,815873
26-Sep-12,27.46,27.66,27.37,27.52,23052
25-Sep-12,27.39,27.62,27.39,27.53,15037
24-Sep-12,27.63,27.70,27.41,27.42,29258
21-Sep-12,27.70,27.71,27.61,27.70,21308
20-Sep-12,27.65,27.70,27.61,27.63,18628
19-Sep-12,27.69,27.82,27.65,27.67,30202
18-Sep-12,27.74,27.78,27.62,27.76,11309
17-Sep-12,27.52,27.77,27.52,27.68,13626
14-Sep-12,27.57,27.75,27.56,27.62,16476
13-Sep-12,27.71,27.77,27.62,27.66,21955
12-Sep-12,27.96,27.96,27.63,27.77,24982
11-Sep-12,28.25,28.47,28.25,28.33,21188
10-Sep-12,28.37,28.45,28.31,28.31,19430
7-Sep-12,28.46,28.53,28.42,28.50,18447
6-Sep-12,28.35,28.58,28.35,28.54,20897
5-Sep-12,28.33,28.43,28.33,28.40,15966
4-Sep-12,28.34,28.40,28.26,28.39,8904
31-Aug-12,28.28,28.38,28.28,28.30,11151
30-Aug-12,28.28,28.42,28.28,28.39,22077
29-Aug-12,28.30,28.47,28.30,28.40,26301
28-Aug-12,28.28,28.35,28.20,28.35,15319
27-Aug-12,28.39,28.39,28.25,28.34,15161
24-Aug-12,28.31,28.32,28.23,28.32,25783
23-Aug-12,28.21,28.26,28.15,28.24,14973
22-Aug-12,28.05,28.14,28.04,28.14,19310
21-Aug-12,28.03,28.20,28.02,28.06,15578
20-Aug-12,28.12,28.25,28.00,28.06,22735
17-Aug-12,28.03,28.29,28.03,28.18,17206
16-Aug-12,28.00,28.17,28.00,28.14,16158
15-Aug-12,28.10,28.21,28.02,28.02,35435
14-Aug-12,27.83,28.35,27.83,28.14,158140
13-Aug-12,27.92,28.04,27.89,27.93,19495
10-Aug-12,28.04,28.11,28.01,28.01,22646
9-Aug-12,28.11,28.30,28.10,28.10,14205
8-Aug-12,28.22,28.34,28.11,28.21,25223
7-Aug-12,28.36,28.50,28.20,28.28,25800
6-Aug-12,28.45,28.46,28.31,28.40,22423
3-Aug-12,28.34,28.58,28.26,28.30,41100
2-Aug-12,28.30,28.43,28.09,28.39,34524
1-Aug-12,28.18,28.31,28.18,28.28,63925
31-Jul-12,28.19,28.22,28.04,28.18,48425
30-Jul-12,28.16,28.19,28.00,28.10,103784
27-Jul-12,28.16,28.18,28.02,28.10,18931
26-Jul-12,28.25,28.25,27.93,28.03,45696
25-Jul-12,27.92,27.98,27.79,27.97,35327
24-Jul-12,27.98,27.98,27.77,27.94,13664
23-Jul-12,27.96,27.97,27.70,27.91,34101
20-Jul-12,27.97,27.98,27.87,27.96,39078
19-Jul-12,27.78,27.92,27.73,27.91,29968
18-Jul-12,27.71,27.83,27.62,27.68,48623
17-Jul-12,27.84,27.84,27.51,27.67,46677
16-Jul-12,27.78,27.84,27.66,27.81,26215
13-Jul-12,27.75,27.76,27.50,27.74,30369
12-Jul-12,27.93,27.99,27.61,27.62,24602
11-Jul-12,27.88,28.02,27.60,28.02,41867
10-Jul-12,27.81,27.88,27.77,27.87,12108
9-Jul-12,27.79,27.90,27.72,27.87,16763
6-Jul-12,27.86,27.89,27.77,27.85,16842
5-Jul-12,27.94,27.95,27.78,27.89,32198
3-Jul-12,28.07,28.13,27.91,27.95,30318
2-Jul-12,28.00,28.05,27.88,28.04,55598
29-Jun-12,27.75,28.00,27.74,28.00,32908
28-Jun-12,27.71,27.79,27.70,27.79,16906
27-Jun-12,27.70,27.82,27.70,27.81,14547
26-Jun-12,27.62,27.78,27.62,27.74,18704
25-Jun-12,27.80,27.80,27.58,27.72,117331
22-Jun-12,27.70,27.89,27.70,27.73,28103
21-Jun-12,27.72,27.80,27.62,27.79,85583
20-Jun-12,27.94,27.94,27.53,27.66,24957
19-Jun-12,27.73,28.02,27.73,27.86,16395
18-Jun-12,27.82,27.89,27.70,27.83,43073
15-Jun-12,27.87,27.94,27.84,27.92,8211
14-Jun-12,27.82,27.92,27.57,27.87,44439
13-Jun-12,27.48,27.88,27.48,27.78,42492
12-Jun-12,27.82,28.17,27.82,28.12,27133
11-Jun-12,28.06,28.10,27.93,27.95,8719
8-Jun-12,27.91,28.22,27.91,28.15,20214
7-Jun-12,28.01,28.16,27.89,27.98,22412
6-Jun-12,27.97,28.08,27.51,28.03,23638
5-Jun-12,28.15,28.20,27.97,27.97,29107
4-Jun-12,27.94,28.14,27.93,28.14,17818
1-Jun-12,27.94,28.06,27.92,28.02,7607
31-May-12,27.88,28.17,27.88,27.94,17472
30-May-12,28.04,28.06,27.88,27.88,23784
29-May-12,27.94,28.09,27.85,27.98,33764
25-May-12,27.82,28.07,27.82,27.99,42019
24-May-12,27.75,28.13,27.75,27.98,56431
23-May-12,27.90,28.01,27.75,27.90,19288
22-May-12,27.65,27.94,27.65,27.91,21333
21-May-12,27.49,27.85,27.49,27.66,63695
18-May-12,27.61,27.80,27.43,27.66,101443
17-May-12,27.65,27.80,27.47,27.69,25380
16-May-12,27.69,27.88,27.69,27.72,17821
15-May-12,27.70,27.86,27.70,27.80,47343
14-May-12,27.71,27.93,27.60,27.82,14678
