Date, Open, High, Low, Close, Volume
17-May-13,3.88,3.96,3.83,3.90,175390
16-May-13,4.02,4.03,3.84,3.85,222206
15-May-13,3.99,4.13,3.97,4.04,215143
14-May-13,4.01,4.03,3.97,4.01,217903
13-May-13,4.06,4.08,4.00,4.01,128221
10-May-13,4.12,4.18,4.07,4.10,122115
9-May-13,4.06,4.21,4.02,4.20,264520
8-May-13,3.94,4.08,3.91,4.04,283239
7-May-13,4.01,4.05,3.85,3.93,433262
6-May-13,4.08,4.09,3.96,3.98,268522
3-May-13,4.25,4.25,4.12,4.12,171827
2-May-13,3.99,4.23,3.95,4.21,213106
1-May-13,4.25,4.29,3.96,3.99,299902
30-Apr-13,4.15,4.30,4.12,4.30,370155
29-Apr-13,4.24,4.26,4.10,4.14,237915
26-Apr-13,4.21,4.32,4.00,4.21,308066
25-Apr-13,4.35,4.39,4.22,4.26,404014
24-Apr-13,4.35,4.35,4.20,4.33,195464
23-Apr-13,4.38,4.47,4.27,4.32,208469
22-Apr-13,4.17,4.43,4.05,4.35,316699
19-Apr-13,4.15,4.21,4.13,4.18,88543
18-Apr-13,4.20,4.31,4.06,4.12,402444
17-Apr-13,4.23,4.38,4.12,4.24,284119
16-Apr-13,3.99,4.29,3.93,4.26,539545
15-Apr-13,4.07,4.07,3.92,3.97,718875
12-Apr-13,3.90,4.08,3.82,4.07,446938
11-Apr-13,3.72,4.00,3.68,3.92,681959
10-Apr-13,3.56,3.77,3.51,3.72,568989
9-Apr-13,3.39,3.56,3.37,3.54,359847
8-Apr-13,3.35,3.42,3.30,3.37,89327
5-Apr-13,3.37,3.47,3.30,3.36,171959
4-Apr-13,3.28,3.47,3.24,3.45,175851
3-Apr-13,3.35,3.40,3.24,3.31,173939
2-Apr-13,3.26,3.38,3.20,3.37,136987
1-Apr-13,3.50,3.54,3.16,3.22,227431
28-Mar-13,3.37,3.47,3.34,3.46,101235
27-Mar-13,3.38,3.45,3.33,3.39,114342
26-Mar-13,3.32,3.42,3.27,3.39,92669
25-Mar-13,3.39,3.41,3.28,3.32,89220
22-Mar-13,3.40,3.48,3.35,3.44,157792
21-Mar-13,3.30,3.43,3.27,3.36,66740
20-Mar-13,3.24,3.40,3.20,3.33,229257
19-Mar-13,3.35,3.49,3.25,3.27,255876
18-Mar-13,3.59,3.60,3.38,3.38,210413
15-Mar-13,3.60,3.61,3.47,3.58,367309
14-Mar-13,3.63,3.79,3.55,3.61,618283
13-Mar-13,3.35,3.73,3.27,3.61,649918
12-Mar-13,3.45,3.48,3.33,3.35,341472
11-Mar-13,3.15,3.40,3.11,3.38,353777
8-Mar-13,3.18,3.26,3.10,3.17,239365
7-Mar-13,3.10,3.25,2.95,3.16,1126712
6-Mar-13,2.69,2.75,2.60,2.73,189878
5-Mar-13,2.67,2.75,2.62,2.66,116084
4-Mar-13,2.72,2.72,2.57,2.64,217483
1-Mar-13,2.64,2.75,2.64,2.70,76433
28-Feb-13,2.73,2.73,2.59,2.62,136454
27-Feb-13,2.65,2.73,2.62,2.70,59626
26-Feb-13,2.82,2.82,2.60,2.63,213553
25-Feb-13,2.99,3.00,2.81,2.82,120141
22-Feb-13,2.85,2.99,2.83,2.96,89128
21-Feb-13,3.05,3.06,2.73,2.87,333175
20-Feb-13,2.94,3.16,2.90,3.04,330428
19-Feb-13,2.88,2.95,2.80,2.94,154718
15-Feb-13,2.83,2.94,2.77,2.88,335475
14-Feb-13,2.85,2.88,2.72,2.84,230771
13-Feb-13,2.85,2.88,2.82,2.85,100220
12-Feb-13,2.80,2.88,2.77,2.85,185452
11-Feb-13,2.88,2.88,2.78,2.81,257304
8-Feb-13,2.90,2.91,2.86,2.88,87973
7-Feb-13,2.82,2.98,2.82,2.90,350271
6-Feb-13,2.81,2.88,2.69,2.81,359553
5-Feb-13,2.94,2.95,2.75,2.78,308798
4-Feb-13,2.80,2.96,2.78,2.93,396656
1-Feb-13,2.73,2.79,2.66,2.78,254029
31-Jan-13,2.56,2.74,2.55,2.71,481461
30-Jan-13,2.53,2.59,2.45,2.56,145729
29-Jan-13,2.58,2.60,2.50,2.54,318137
28-Jan-13,2.62,2.64,2.51,2.57,359777
25-Jan-13,2.68,2.69,2.59,2.61,156639
24-Jan-13,2.68,2.73,2.58,2.70,267073
23-Jan-13,2.69,2.83,2.62,2.70,585429
22-Jan-13,2.49,2.67,2.49,2.66,656348
18-Jan-13,2.39,2.45,2.25,2.40,344710
17-Jan-13,2.23,2.41,2.23,2.37,304117
16-Jan-13,2.28,2.28,2.21,2.23,31771
15-Jan-13,2.28,2.28,2.21,2.28,42344
14-Jan-13,2.27,2.29,2.19,2.27,128938
11-Jan-13,2.23,2.29,2.18,2.27,194194
10-Jan-13,2.16,2.22,2.10,2.22,296729
9-Jan-13,2.05,2.18,2.05,2.16,281432
8-Jan-13,2.04,2.06,2.00,2.05,148462
