Date, Open, High, Low, Close, Volume
17-May-13,102.68,103.82,102.19,103.77,1708970
16-May-13,103.00,104.00,101.67,102.04,1390209
15-May-13,102.57,103.70,102.20,103.33,1406353
14-May-13,102.04,102.85,101.00,102.65,1739582
13-May-13,100.13,102.27,100.10,101.36,1914196
10-May-13,101.20,101.72,100.31,100.89,1724608
9-May-13,101.75,102.11,100.53,100.87,2602301
8-May-13,100.70,103.72,99.75,102.19,8647432
7-May-13,91.98,92.92,90.85,92.80,5053298
6-May-13,91.41,91.95,91.23,91.80,1970091
3-May-13,91.27,91.57,90.81,91.46,2477225
2-May-13,88.86,91.08,88.10,90.27,2675416
1-May-13,88.35,89.74,88.34,89.02,1822680
30-Apr-13,88.40,88.50,87.48,88.32,2194080
29-Apr-13,88.66,88.94,87.91,88.13,1714986
26-Apr-13,88.32,88.79,88.00,88.61,1685200
25-Apr-13,89.39,89.50,87.82,88.25,1984790
24-Apr-13,89.00,89.77,88.86,89.19,1828084
23-Apr-13,87.17,88.98,86.91,88.78,2239629
22-Apr-13,86.00,87.53,85.71,87.10,1648159
19-Apr-13,84.70,86.23,84.70,86.07,1462831
18-Apr-13,86.18,86.29,84.55,85.01,946394
17-Apr-13,86.41,86.47,84.45,85.84,1686329
16-Apr-13,86.85,87.98,86.33,87.02,1985280
15-Apr-13,87.50,88.20,86.43,86.57,2414001
12-Apr-13,87.53,88.01,86.89,88.01,1821171
11-Apr-13,86.69,87.85,86.50,87.42,3145710
10-Apr-13,83.67,86.41,83.67,86.37,3139075
9-Apr-13,83.85,84.35,83.03,83.68,1871130
8-Apr-13,82.59,83.74,81.39,83.74,3407730
5-Apr-13,82.20,83.10,81.86,83.02,2365220
4-Apr-13,83.13,84.13,82.50,83.11,2354241
3-Apr-13,84.83,84.88,83.00,83.23,3202600
2-Apr-13,85.54,86.09,84.33,84.52,2166476
1-Apr-13,86.76,87.27,85.01,85.34,1600600
28-Mar-13,87.34,87.48,86.71,86.75,1503691
27-Mar-13,86.51,87.47,85.95,87.26,1180462
26-Mar-13,86.50,86.99,86.39,86.87,1375420
25-Mar-13,86.77,87.60,85.37,86.35,2443815
22-Mar-13,86.39,87.79,86.39,87.78,1644226
21-Mar-13,85.91,86.54,85.01,86.26,1864285
20-Mar-13,85.84,86.93,85.78,86.29,1991595
19-Mar-13,86.47,86.72,84.84,85.56,1682337
18-Mar-13,85.88,86.79,85.29,86.43,1363114
15-Mar-13,88.15,88.54,86.44,87.06,2476029
14-Mar-13,88.12,88.77,87.83,88.58,1679064
13-Mar-13,86.14,88.09,85.88,88.01,2488938
12-Mar-13,86.39,86.39,85.25,85.79,1341290
11-Mar-13,85.01,86.50,84.76,86.00,1860262
8-Mar-13,86.68,86.79,84.72,85.00,1939243
7-Mar-13,85.58,86.50,85.37,86.03,2050254
6-Mar-13,85.00,86.11,84.80,85.49,2692552
5-Mar-13,86.30,86.84,85.34,85.71,1818873
4-Mar-13,85.79,86.26,85.30,86.05,1989187
1-Mar-13,85.38,85.89,84.93,85.79,2087236
28-Feb-13,85.50,86.47,85.31,85.62,2638675
27-Feb-13,84.00,85.70,83.70,85.30,2501916
26-Feb-13,84.65,84.69,83.07,83.96,3128517
