Date, Open, High, Low, Close, Volume
17-May-13,3.08,3.09,3.08,3.09,800
16-May-13,3.08,3.09,3.07,3.08,17316
15-May-13,3.08,3.08,3.08,3.08,10900
14-May-13,3.09,3.09,3.08,3.08,700
13-May-13,3.08,3.09,3.08,3.09,7132
10-May-13,3.08,3.10,3.08,3.08,14800
9-May-13,3.08,3.10,3.08,3.10,4900
8-May-13,3.09,3.10,3.09,3.09,5045
7-May-13,3.09,3.10,3.09,3.10,1844
6-May-13,3.08,3.10,3.08,3.10,3791
3-May-13,3.09,3.10,3.08,3.08,48593
2-May-13,3.08,3.09,3.08,3.08,24703
1-May-13,3.08,3.10,3.08,3.10,10823
30-Apr-13,3.09,3.10,3.09,3.10,17570
29-Apr-13,3.09,3.10,3.09,3.09,15300
26-Apr-13,3.09,3.09,3.08,3.09,15274
25-Apr-13,3.09,3.10,3.09,3.09,4700
24-Apr-13,3.09,3.10,3.08,3.09,12210
23-Apr-13,3.09,3.09,3.08,3.09,17426
22-Apr-13,3.10,3.10,3.08,3.10,6004
19-Apr-13,3.10,3.10,3.08,3.09,8094
18-Apr-13,3.09,3.10,3.08,3.10,6286
17-Apr-13,3.09,3.10,3.09,3.10,21302
16-Apr-13,3.09,3.10,3.09,3.09,12914
15-Apr-13,3.09,3.09,3.09,3.09,20449
12-Apr-13,3.09,3.10,3.09,3.09,3212
11-Apr-13,3.09,3.10,3.09,3.09,9100
10-Apr-13,3.07,3.10,3.07,3.09,8768
9-Apr-13,3.08,3.09,3.08,3.09,11154
8-Apr-13,3.07,3.10,3.07,3.10,11600
5-Apr-13,3.09,3.10,3.07,3.10,41347
4-Apr-13,3.09,3.10,3.07,3.09,29000
3-Apr-13,3.07,3.10,3.07,3.09,13127
2-Apr-13,3.06,3.10,3.06,3.10,13402
1-Apr-13,3.09,3.10,3.06,3.10,43338
28-Mar-13,3.09,3.10,3.09,3.09,8173
27-Mar-13,3.07,3.10,3.06,3.10,28767
26-Mar-13,3.08,3.09,3.06,3.08,10050
25-Mar-13,3.08,3.09,3.06,3.08,49566
22-Mar-13,3.06,3.10,3.05,3.09,6500
21-Mar-13,3.06,3.08,3.06,3.07,22421
20-Mar-13,3.08,3.10,3.06,3.10,22100
19-Mar-13,3.06,3.08,3.06,3.06,4913
18-Mar-13,3.05,3.09,3.05,3.09,53420
15-Mar-13,3.07,3.07,3.06,3.06,19577
14-Mar-13,3.07,3.07,3.06,3.06,5977
13-Mar-13,3.04,3.06,3.04,3.06,23871
12-Mar-13,3.05,3.07,3.02,3.06,72441
11-Mar-13,3.05,3.05,3.02,3.05,63175
8-Mar-13,3.05,3.05,3.03,3.05,46226
7-Mar-13,3.00,3.05,2.99,3.04,38158
6-Mar-13,2.98,3.00,2.98,3.00,18139
5-Mar-13,2.94,3.00,2.94,3.00,46408
4-Mar-13,2.94,2.99,2.94,2.99,50378
1-Mar-13,2.93,2.95,2.92,2.94,36959
28-Feb-13,2.95,2.96,2.93,2.96,80092
27-Feb-13,2.91,2.95,2.91,2.95,63214
26-Feb-13,2.92,2.95,2.91,2.93,52651
25-Feb-13,3.04,3.04,2.90,2.96,68309
22-Feb-13,2.90,2.97,2.86,2.96,368600
21-Feb-13,2.85,3.01,2.77,2.96,496846
20-Feb-13,1.60,1.60,1.59,1.60,1516
19-Feb-13,1.60,1.60,1.60,1.60,120
15-Feb-13,1.61,1.61,1.61,1.61,100
14-Feb-13,1.60,1.65,1.56,1.65,1300
13-Feb-13,1.55,1.60,1.55,1.60,4800
12-Feb-13,1.61,1.66,1.60,1.64,2440
11-Feb-13,1.61,1.61,1.60,1.61,1900
8-Feb-13,1.62,1.63,1.57,1.63,1400
7-Feb-13,1.66,1.67,1.26,1.63,9589
6-Feb-13,1.67,1.67,1.67,1.67,2200
5-Feb-13,1.67,1.67,1.67,1.67,1000
4-Feb-13,1.70,1.70,1.67,1.67,500
1-Feb-13,1.67,1.70,1.67,1.69,10960
31-Jan-13,1.70,1.70,1.66,1.66,1600
30-Jan-13,1.70,1.70,1.70,1.70,16020
29-Jan-13,1.67,1.68,1.65,1.68,3220
28-Jan-13,1.70,1.70,1.70,1.70,100
25-Jan-13,1.70,1.70,1.70,1.70,1800
24-Jan-13,1.70,1.73,1.70,1.72,7840
23-Jan-13,1.70,1.73,1.70,1.71,11661
22-Jan-13,1.70,1.70,1.68,1.69,1260
18-Jan-13,1.65,1.74,1.65,1.74,28064
17-Jan-13,1.67,1.67,1.65,1.65,5140
