Date, Open, High, Low, Close, Volume
17-May-13,91.40,92.67,91.06,92.49,336818
16-May-13,91.77,93.00,90.17,90.53,625936
15-May-13,92.13,93.82,90.89,91.33,732496
14-May-13,90.12,92.31,90.12,92.31,414344
13-May-13,90.81,91.49,89.40,90.10,630899
10-May-13,89.30,91.15,89.05,91.06,587144
9-May-13,91.28,91.95,89.12,89.33,811453
8-May-13,89.80,91.62,89.23,91.50,684831
7-May-13,90.06,92.35,87.56,91.45,914845
6-May-13,87.00,89.29,84.65,88.94,1654509
3-May-13,81.63,84.26,81.29,82.45,738640
2-May-13,79.42,80.91,78.62,80.52,953249
1-May-13,82.76,83.08,78.45,78.62,944512
30-Apr-13,83.70,83.96,82.54,83.14,511103
29-Apr-13,84.95,85.47,83.08,84.05,382841
26-Apr-13,87.75,88.16,83.95,84.47,761330
25-Apr-13,86.75,88.98,86.75,88.10,720228
24-Apr-13,83.64,88.34,83.24,86.14,699306
23-Apr-13,83.68,83.96,82.58,83.53,519887
22-Apr-13,82.74,84.29,81.15,83.42,634243
19-Apr-13,79.62,82.71,79.36,82.29,684996
18-Apr-13,80.82,81.07,76.71,78.84,831361
17-Apr-13,80.94,81.45,79.99,80.82,513859
16-Apr-13,80.17,83.26,79.82,82.17,636744
15-Apr-13,83.28,83.62,78.81,79.06,1188697
12-Apr-13,86.69,86.90,83.88,84.12,780311
11-Apr-13,86.27,88.28,85.85,87.51,430941
10-Apr-13,87.21,87.21,85.40,86.31,462309
9-Apr-13,85.93,87.72,85.72,86.76,429727
8-Apr-13,85.92,86.19,83.96,85.49,531342
5-Apr-13,84.91,86.30,83.51,85.92,511404
4-Apr-13,86.09,87.62,85.36,86.71,724874
3-Apr-13,87.20,87.22,84.24,86.19,846972
2-Apr-13,90.73,90.94,86.56,86.92,582394
1-Apr-13,93.01,93.15,89.63,89.99,573035
28-Mar-13,93.41,94.68,92.75,93.50,315857
27-Mar-13,94.07,94.07,92.25,93.65,279609
26-Mar-13,95.31,96.00,93.77,94.73,304077
25-Mar-13,94.78,96.58,93.23,94.63,399212
22-Mar-13,94.78,95.56,93.78,94.05,248977
21-Mar-13,96.63,98.27,94.17,94.44,526244
20-Mar-13,96.77,97.83,96.46,97.21,264894
19-Mar-13,95.93,95.96,93.99,95.87,393789
18-Mar-13,95.62,96.31,95.00,95.55,279239
15-Mar-13,96.49,97.23,95.63,97.18,746313
14-Mar-13,95.22,96.93,95.15,96.59,522415
13-Mar-13,95.33,95.33,94.22,94.74,288047
12-Mar-13,93.85,95.92,93.84,94.85,389361
11-Mar-13,93.24,93.94,92.09,93.79,472286
8-Mar-13,91.75,94.00,91.55,93.86,559148
7-Mar-13,92.10,92.10,90.38,91.07,400028
6-Mar-13,88.61,91.20,88.61,91.04,720285
5-Mar-13,87.95,89.21,87.68,88.25,450760
4-Mar-13,87.52,88.21,86.83,87.68,524696
1-Mar-13,86.77,88.67,84.85,87.82,870843
28-Feb-13,86.43,87.33,85.99,86.22,296194
27-Feb-13,83.51,87.41,83.51,86.42,529073
26-Feb-13,85.44,86.03,84.63,85.37,446533
25-Feb-13,88.65,88.93,84.78,84.78,425609
22-Feb-13,86.28,88.24,85.80,88.02,421143
21-Feb-13,86.74,86.90,84.00,85.79,751638
20-Feb-13,92.92,93.51,86.92,87.05,968490
19-Feb-13,92.75,93.88,91.61,92.58,1198360
15-Feb-13,91.83,92.30,90.49,91.83,683948
14-Feb-13,92.15,92.86,91.46,91.80,361386
13-Feb-13,92.05,93.65,91.78,92.75,478670
12-Feb-13,90.75,91.53,89.90,91.23,375149
11-Feb-13,92.19,92.19,90.67,90.93,338917
8-Feb-13,92.27,93.33,91.57,92.19,426502
7-Feb-13,91.16,91.23,89.13,91.20,439766
6-Feb-13,90.18,90.79,89.87,90.67,482056
5-Feb-13,90.19,91.15,90.01,90.64,329518
4-Feb-13,91.19,91.19,89.30,89.48,397076
1-Feb-13,92.25,93.28,91.00,91.78,655626
31-Jan-13,88.98,94.06,88.38,91.86,919629
30-Jan-13,89.59,89.98,89.14,89.52,317161
29-Jan-13,88.31,89.92,88.15,89.62,571388
28-Jan-13,88.60,88.90,87.76,88.06,383914
25-Jan-13,89.08,89.32,87.60,88.14,443378
24-Jan-13,87.31,89.15,87.31,88.44,474745
23-Jan-13,87.03,87.43,86.11,87.23,343761
22-Jan-13,86.75,87.05,85.92,86.78,349719
18-Jan-13,86.37,86.77,85.21,86.59,369129
17-Jan-13,85.47,87.02,85.22,86.05,404813
16-Jan-13,84.95,84.95,84.04,84.68,330451
15-Jan-13,85.72,85.88,84.38,85.34,494633
14-Jan-13,85.48,86.16,85.25,85.90,352640
11-Jan-13,85.50,85.62,84.73,85.39,495420
10-Jan-13,84.89,86.32,84.00,85.89,724320
9-Jan-13,83.68,85.11,83.20,84.75,809637
8-Jan-13,82.88,83.52,81.94,83.30,672474
7-Jan-13,82.57,83.00,82.32,82.93,444116
4-Jan-13,82.05,82.99,81.79,82.79,287467
3-Jan-13,83.13,83.23,81.48,81.74,254934
2-Jan-13,81.60,83.86,81.42,83.20,727445
31-Dec-12,77.31,80.00,77.31,79.30,280909
28-Dec-12,77.95,78.52,77.26,77.39,198019
27-Dec-12,79.60,79.91,77.14,78.60,245962
26-Dec-12,80.00,80.45,78.85,79.65,1304522
24-Dec-12,78.50,80.04,78.25,80.01,169065
21-Dec-12,76.64,78.91,76.51,78.53,428163
20-Dec-12,78.51,78.64,77.45,78.61,564914
19-Dec-12,80.10,80.23,78.52,78.67,313174
18-Dec-12,79.39,80.23,78.89,80.09,430827
17-Dec-12,78.64,79.16,78.40,78.89,405374
14-Dec-12,76.39,78.49,76.38,78.28,430584
13-Dec-12,77.06,77.53,76.20,76.76,340070
12-Dec-12,77.67,77.67,76.78,77.23,419280
11-Dec-12,78.19,78.20,76.21,77.13,360597
10-Dec-12,75.79,77.26,75.68,77.21,574629
7-Dec-12,72.72,76.14,72.59,75.95,969876
6-Dec-12,72.02,73.00,72.02,72.52,461023
5-Dec-12,72.11,73.24,71.87,72.80,486384
4-Dec-12,72.59,73.41,71.72,72.31,449440
3-Dec-12,73.40,73.79,72.02,72.57,448628
30-Nov-12,72.62,72.95,71.95,72.41,1203076
29-Nov-12,71.91,72.99,71.65,72.65,406292
28-Nov-12,70.12,71.35,69.01,71.31,504597
27-Nov-12,70.81,71.59,69.84,70.11,489510
26-Nov-12,75.38,76.00,74.16,74.75,467937
23-Nov-12,74.90,76.63,74.60,75.90,224331
21-Nov-12,74.04,74.10,73.37,74.10,230626
20-Nov-12,74.07,74.93,73.17,73.83,1112103
19-Nov-12,74.02,75.04,73.04,74.53,1022643
16-Nov-12,71.09,72.70,70.29,72.43,583443
15-Nov-12,73.04,73.28,69.87,70.00,1031286
14-Nov-12,76.51,76.93,73.13,73.40,664607
13-Nov-12,75.08,76.95,72.99,76.13,669274
12-Nov-12,77.12,77.78,75.80,76.88,323279
9-Nov-12,76.78,78.99,76.44,77.11,401964
8-Nov-12,77.46,79.17,74.89,77.45,878630
7-Nov-12,77.91,79.67,77.83,78.35,686570
6-Nov-12,79.79,80.17,79.37,79.60,236610
5-Nov-12,77.98,79.36,77.68,79.22,235902
2-Nov-12,79.36,79.85,77.75,77.90,313947
1-Nov-12,76.30,79.78,75.94,79.36,443863
31-Oct-12,77.47,77.94,75.69,76.06,270312
26-Oct-12,75.99,77.96,74.81,76.93,580959
25-Oct-12,76.48,77.41,74.75,75.57,387093
24-Oct-12,75.55,77.08,74.17,76.04,515542
23-Oct-12,73.77,75.39,72.37,74.72,656806
22-Oct-12,75.16,76.20,75.08,75.52,350028
19-Oct-12,77.21,77.21,75.11,75.50,422678
18-Oct-12,77.21,77.83,75.42,77.50,546720
17-Oct-12,77.22,78.93,76.60,77.66,1103067
16-Oct-12,72.58,80.49,72.58,77.78,3162382
15-Oct-12,70.80,72.32,70.00,72.18,346953
12-Oct-12,72.23,73.25,70.90,70.98,443950
11-Oct-12,73.15,73.53,71.75,72.01,244882
10-Oct-12,74.32,74.47,71.69,72.10,467454
