Date, Open, High, Low, Close, Volume
17-May-13,25.35,25.39,25.33,25.36,246964
16-May-13,25.32,25.35,25.31,25.35,194629
15-May-13,25.31,25.35,25.31,25.34,188549
14-May-13,25.32,25.36,25.29,25.36,387127
13-May-13,25.32,25.37,25.28,25.36,183591
10-May-13,25.34,25.42,25.29,25.32,282030
9-May-13,25.35,25.39,25.28,25.28,144051
8-May-13,25.30,25.36,25.28,25.32,411619
7-May-13,25.30,25.40,25.28,25.38,216325
6-May-13,25.31,25.36,25.27,25.30,168004
3-May-13,25.34,25.42,25.27,25.30,291132
2-May-13,25.32,25.35,25.28,25.33,262133
1-May-13,25.34,25.36,25.25,25.25,582296
30-Apr-13,25.30,25.38,25.25,25.38,308136
29-Apr-13,25.35,25.36,25.21,25.27,282515
26-Apr-13,25.23,25.32,25.18,25.32,326223
25-Apr-13,25.28,25.43,25.20,25.20,424464
24-Apr-13,25.25,25.28,25.19,25.22,395679
23-Apr-13,25.30,25.30,25.09,25.25,749214
22-Apr-13,25.24,25.28,25.18,25.24,541170
19-Apr-13,25.22,25.25,25.15,25.20,537563
18-Apr-13,25.23,25.25,25.07,25.17,1197633
17-Apr-13,25.23,25.28,25.20,25.20,989626
16-Apr-13,25.37,25.37,25.20,25.31,620101
15-Apr-13,25.39,25.40,25.22,25.25,998397
12-Apr-13,25.38,25.43,25.33,25.40,814057
11-Apr-13,25.38,25.40,25.35,25.38,1089431
10-Apr-13,25.39,25.40,25.34,25.35,932651
9-Apr-13,25.38,25.41,25.33,25.34,379203
8-Apr-13,25.27,25.44,25.26,25.38,489524
5-Apr-13,25.21,25.30,25.19,25.30,1189351
4-Apr-13,25.22,25.30,25.20,25.27,392395
3-Apr-13,25.21,25.31,25.19,25.20,830346
2-Apr-13,25.32,25.34,25.19,25.20,470273
1-Apr-13,25.22,25.32,25.18,25.27,551397
28-Mar-13,25.21,25.27,25.18,25.21,434674
27-Mar-13,25.15,25.22,25.15,25.19,545282
26-Mar-13,25.20,25.22,25.16,25.20,450494
25-Mar-13,25.21,25.24,25.10,25.16,872444
22-Mar-13,25.24,25.25,25.16,25.18,294473
21-Mar-13,25.11,25.26,25.10,25.20,459340
20-Mar-13,25.20,25.26,25.10,25.17,526810
19-Mar-13,25.10,25.19,25.08,25.18,658374
18-Mar-13,25.00,25.22,24.95,25.09,370749
15-Mar-13,25.07,25.10,25.02,25.07,684655
14-Mar-13,25.03,25.10,25.02,25.07,360058
13-Mar-13,24.98,25.03,24.98,25.01,490832
12-Mar-13,25.00,25.02,24.94,24.94,1418106
11-Mar-13,25.00,25.09,24.95,24.99,1109266
8-Mar-13,25.18,25.20,24.99,24.99,923420
