Date, Open, High, Low, Close, Volume
17-May-13,453.69,468.99,453.69,466.81,15561
16-May-13,455.73,459.00,453.24,453.89,10728
15-May-13,451.41,458.18,448.26,456.43,12114
14-May-13,451.00,455.00,447.40,451.65,26534
13-May-13,450.08,455.36,446.10,452.34,7642
10-May-13,447.00,453.51,443.17,452.89,11212
9-May-13,449.47,449.47,442.56,446.80,15539
8-May-13,448.00,449.50,445.63,449.50,19734
7-May-13,450.61,450.70,445.64,450.44,19658
6-May-13,448.50,452.06,445.50,450.00,25899
3-May-13,452.21,452.21,445.00,448.55,17274
2-May-13,442.80,452.51,440.00,452.51,18453
1-May-13,443.74,443.74,440.00,442.80,30113
30-Apr-13,442.01,443.34,439.00,443.34,16665
29-Apr-13,445.50,446.60,440.02,444.25,11737
26-Apr-13,448.00,449.49,443.39,446.37,11884
25-Apr-13,442.53,450.00,440.68,446.24,10448
24-Apr-13,436.05,440.61,434.39,440.31,24429
23-Apr-13,438.03,440.58,435.00,437.36,19746
22-Apr-13,436.00,436.50,433.34,434.75,9243
19-Apr-13,430.78,437.82,430.78,435.36,16443
18-Apr-13,432.25,436.90,427.33,427.96,20990
17-Apr-13,442.82,443.37,430.06,430.12,10103
16-Apr-13,440.62,445.49,435.20,445.46,10923
15-Apr-13,441.46,445.14,435.39,435.69,13031
12-Apr-13,446.17,447.09,442.44,444.50,15549
11-Apr-13,448.34,452.00,445.47,449.84,16662
10-Apr-13,439.81,449.94,438.90,449.44,14568
9-Apr-13,437.26,444.33,437.26,440.31,15641
8-Apr-13,435.00,439.14,430.62,438.87,14722
5-Apr-13,430.00,435.56,430.00,433.30,23486
4-Apr-13,436.85,439.38,433.78,438.75,11179
3-Apr-13,443.94,443.94,435.05,436.56,34439
2-Apr-13,447.13,449.98,437.48,440.87,23376
1-Apr-13,446.02,449.00,444.17,446.10,10046
28-Mar-13,450.00,450.31,446.92,447.00,6260
27-Mar-13,444.38,452.49,444.38,449.16,10504
26-Mar-13,454.62,456.00,447.00,449.00,24633
25-Mar-13,449.00,456.14,445.45,455.58,40111
22-Mar-13,442.00,443.58,438.76,442.37,15386
21-Mar-13,442.34,447.37,440.56,441.06,19993
20-Mar-13,443.00,444.97,439.02,443.10,21418
19-Mar-13,443.05,447.08,440.43,441.34,28005
18-Mar-13,440.31,446.70,440.31,443.44,18381
15-Mar-13,439.55,448.98,437.56,444.70,77582
14-Mar-13,440.00,445.70,437.36,439.70,43938
13-Mar-13,418.47,442.54,417.83,438.26,43252
12-Mar-13,413.22,418.11,409.56,417.00,26220
11-Mar-13,411.71,413.65,408.59,413.01,26852
8-Mar-13,417.01,417.79,412.31,414.69,39434
7-Mar-13,408.00,415.30,406.31,414.39,28081
6-Mar-13,410.53,415.76,404.78,407.38,33764
5-Mar-13,402.02,410.26,402.02,409.59,40801
4-Mar-13,395.15,407.26,394.23,400.13,43605
1-Mar-13,395.00,397.98,393.81,395.83,23775
28-Feb-13,402.45,404.69,397.00,398.54,23077
27-Feb-13,390.00,406.15,390.00,402.98,22850
26-Feb-13,395.33,398.01,388.12,390.97,27327
25-Feb-13,407.46,408.51,394.88,394.88,26346
22-Feb-13,412.07,415.03,404.14,407.13,28414
21-Feb-13,414.53,416.94,410.41,412.40,17389
20-Feb-13,424.84,425.02,414.00,416.84,25682
19-Feb-13,416.86,425.74,415.00,418.85,41953
15-Feb-13,411.95,417.93,409.42,414.41,28443
14-Feb-13,397.06,409.52,395.00,409.06,44175
13-Feb-13,403.76,406.57,399.74,400.87,20536
12-Feb-13,398.58,405.32,397.04,401.61,10030
11-Feb-13,400.45,402.00,398.00,399.05,12504
8-Feb-13,387.16,404.48,387.16,398.68,46498
7-Feb-13,390.64,393.82,387.39,387.39,32406
6-Feb-13,381.51,389.98,380.25,389.19,13514
5-Feb-13,386.00,388.00,381.19,383.85,13465
4-Feb-13,387.20,388.52,382.00,383.01,18303
1-Feb-13,388.45,390.52,385.63,388.44,11119
31-Jan-13,382.62,386.03,380.19,385.68,13021
30-Jan-13,385.42,385.42,379.20,384.23,13316
29-Jan-13,386.16,386.16,380.82,384.73,18115
28-Jan-13,385.95,387.48,382.19,386.26,13923
25-Jan-13,388.89,390.72,385.78,387.10,16534
24-Jan-13,382.50,388.90,382.50,387.94,28222
23-Jan-13,382.50,383.54,381.72,383.27,6601
22-Jan-13,378.37,384.09,377.50,382.01,14098
18-Jan-13,384.00,384.00,378.00,380.17,19083
17-Jan-13,381.00,383.18,375.27,381.21,21935
16-Jan-13,375.86,380.05,375.86,379.78,12042
15-Jan-13,375.54,378.39,372.37,376.78,13846
14-Jan-13,375.51,376.09,372.76,375.32,18925
11-Jan-13,373.95,376.02,371.24,375.85,17908
10-Jan-13,370.65,373.87,369.84,372.42,16467
9-Jan-13,368.00,370.65,365.78,370.65,27464
8-Jan-13,370.38,372.34,367.00,371.40,21355
