Date, Open, High, Low, Close, Volume
17-May-13,18.21,18.47,18.12,18.46,3383599
16-May-13,18.24,18.28,18.01,18.08,2049075
15-May-13,18.12,18.25,17.89,18.24,3202383
14-May-13,18.59,18.67,17.83,18.05,6283739
13-May-13,17.06,17.57,17.06,17.52,1833461
10-May-13,16.69,17.25,16.57,17.12,2036674
9-May-13,16.67,16.93,16.50,16.70,1879816
8-May-13,16.62,16.84,16.50,16.71,1394490
7-May-13,16.44,16.91,16.26,16.61,3422187
6-May-13,16.55,16.57,16.27,16.39,1654364
3-May-13,15.89,16.88,15.84,16.57,2847744
2-May-13,15.33,16.20,15.14,15.77,4776911
1-May-13,15.57,15.60,15.23,15.35,1416984
30-Apr-13,15.74,15.84,15.43,15.63,1577371
29-Apr-13,15.85,16.05,15.72,15.73,1839096
26-Apr-13,15.74,15.83,15.27,15.74,2118803
25-Apr-13,15.93,16.13,15.65,15.73,2911154
24-Apr-13,15.86,16.05,15.68,15.83,2451634
23-Apr-13,16.07,16.13,15.68,15.82,1814971
22-Apr-13,16.28,16.40,15.68,16.02,2141735
19-Apr-13,16.54,16.60,15.99,16.38,2391088
18-Apr-13,16.23,16.77,15.72,16.43,4099443
17-Apr-13,16.20,16.25,15.73,16.15,5701809
16-Apr-13,16.52,17.09,16.09,16.33,2643090
15-Apr-13,17.07,17.15,16.28,16.34,2661183
12-Apr-13,17.49,17.57,17.11,17.29,1776878
11-Apr-13,17.50,17.92,17.34,17.63,3119496
10-Apr-13,17.15,17.62,17.12,17.43,2042367
9-Apr-13,17.02,17.44,16.85,17.10,3728056
8-Apr-13,16.22,17.12,16.02,17.01,5395055
5-Apr-13,15.19,16.15,15.11,16.15,3526002
4-Apr-13,15.00,15.39,14.87,15.35,2258758
3-Apr-13,15.48,15.64,14.92,15.00,2110823
2-Apr-13,15.88,15.91,15.48,15.50,2218489
1-Apr-13,16.03,16.04,15.74,15.82,1731635
28-Mar-13,16.20,16.30,15.94,16.02,5451318
27-Mar-13,16.30,16.37,16.10,16.24,1368207
26-Mar-13,16.20,16.41,16.10,16.39,1872701
25-Mar-13,16.30,16.41,16.03,16.13,2130552
22-Mar-13,16.10,16.36,16.00,16.20,3213829
21-Mar-13,16.39,16.50,15.90,15.95,4399115
20-Mar-13,16.61,16.64,16.38,16.46,4311855
19-Mar-13,16.71,16.79,16.43,16.51,2665321
18-Mar-13,16.65,16.98,16.59,16.64,1987637
15-Mar-13,16.76,16.97,16.69,16.85,6957652
14-Mar-13,16.05,16.94,16.01,16.79,5511502
13-Mar-13,16.13,16.20,15.94,16.00,2739009
12-Mar-13,16.29,16.35,15.90,16.12,2617017
11-Mar-13,16.23,16.40,16.02,16.27,3008958
8-Mar-13,15.90,16.36,15.79,16.25,5682920
7-Mar-13,15.18,15.94,15.03,15.83,4868853
6-Mar-13,14.76,15.24,14.67,15.14,3823306
5-Mar-13,14.51,14.79,14.49,14.73,2587715
4-Mar-13,14.26,14.48,14.14,14.41,2853924
1-Mar-13,14.09,14.54,14.04,14.33,3114196
28-Feb-13,14.15,14.69,14.03,14.19,7521433
27-Feb-13,14.27,14.69,14.26,14.50,3286497
26-Feb-13,14.31,14.40,14.06,14.34,3165371
25-Feb-13,15.03,15.20,14.25,14.26,3844883
22-Feb-13,14.66,14.92,14.57,14.90,2330984
21-Feb-13,14.81,14.92,14.38,14.61,3200034
