Date, Open, High, Low, Close, Volume
17-May-13,22.65,22.69,22.43,22.55,15689
16-May-13,23.20,23.20,22.66,22.74,7647
15-May-13,22.81,23.09,22.68,23.06,15165
14-May-13,22.94,23.08,22.72,22.96,8845
13-May-13,22.65,23.07,22.65,23.07,1245
10-May-13,22.62,22.80,22.62,22.71,4434
9-May-13,22.52,22.94,22.52,22.58,13641
8-May-13,22.80,23.07,22.59,22.69,23516
7-May-13,23.73,23.93,22.45,22.84,38612
6-May-13,24.16,24.18,23.80,23.85,5103
3-May-13,24.00,24.20,23.52,23.70,17471
2-May-13,24.00,24.00,23.67,23.83,9642
1-May-13,24.00,24.00,23.65,23.90,10841
30-Apr-13,23.89,23.89,23.51,23.70,6417
29-Apr-13,23.83,24.00,23.47,24.00,4740
26-Apr-13,23.20,24.00,23.02,24.00,13084
25-Apr-13,23.07,23.20,22.97,23.20,6001
24-Apr-13,23.04,23.07,22.73,23.07,4593
23-Apr-13,22.92,23.07,22.80,23.07,6604
22-Apr-13,22.86,22.94,22.81,22.92,3776
19-Apr-13,22.38,22.92,22.38,22.92,7682
18-Apr-13,22.65,22.75,22.65,22.75,8125
17-Apr-13,22.31,22.73,22.31,22.72,4944
16-Apr-13,22.68,22.75,22.31,22.31,19134
15-Apr-13,22.95,22.95,22.80,22.94,3589
12-Apr-13,22.69,23.03,22.69,22.97,1797
11-Apr-13,23.03,23.03,22.89,22.89,405
10-Apr-13,23.07,23.07,22.99,23.00,776
9-Apr-13,23.14,23.18,22.88,23.01,7953
8-Apr-13,22.85,22.93,22.65,22.75,3512
5-Apr-13,22.80,22.80,22.58,22.74,1436
4-Apr-13,22.79,23.02,22.64,22.65,7874
3-Apr-13,22.66,23.17,22.66,23.05,1562
2-Apr-13,22.96,23.40,22.91,23.40,5865
1-Apr-13,22.80,22.80,22.71,22.80,2434
28-Mar-13,22.64,22.88,22.64,22.80,12528
27-Mar-13,22.63,22.74,22.60,22.69,3360
26-Mar-13,22.66,22.72,22.46,22.58,14938
25-Mar-13,22.79,22.79,22.64,22.74,27811
22-Mar-13,22.72,22.77,22.72,22.77,8951
21-Mar-13,22.68,22.85,22.68,22.80,3289
20-Mar-13,22.75,22.75,22.67,22.74,8033
19-Mar-13,22.87,22.89,22.65,22.77,11813
18-Mar-13,22.73,22.89,22.69,22.69,3984
15-Mar-13,22.89,22.89,22.73,22.84,3438
14-Mar-13,22.82,22.88,22.67,22.88,5881
13-Mar-13,22.64,22.89,22.62,22.88,6571
12-Mar-13,22.85,22.90,22.57,22.89,10388
11-Mar-13,22.86,22.89,22.58,22.58,28655
8-Mar-13,22.91,22.91,22.70,22.76,4739
7-Mar-13,23.11,23.11,22.70,22.76,7400
6-Mar-13,23.01,23.10,23.01,23.04,1765
5-Mar-13,22.75,23.17,22.70,23.17,13919
4-Mar-13,22.75,22.92,22.67,22.67,4029
1-Mar-13,22.65,23.03,22.65,22.78,2469
28-Feb-13,23.14,23.14,22.84,22.84,4533
27-Feb-13,23.50,23.67,22.84,22.91,25306
26-Feb-13,23.56,23.71,23.56,23.63,1765
25-Feb-13,23.61,23.71,23.52,23.54,14047
22-Feb-13,23.50,23.85,23.50,23.51,4629
21-Feb-13,23.37,23.63,23.37,23.51,8180
20-Feb-13,23.70,23.70,23.50,23.50,7782
19-Feb-13,23.49,23.89,23.48,23.70,9651
15-Feb-13,23.50,23.51,23.40,23.40,1894
14-Feb-13,23.60,23.63,23.50,23.50,5033
13-Feb-13,23.42,23.60,23.25,23.38,6906
12-Feb-13,23.42,23.42,23.27,23.36,2198
11-Feb-13,23.27,23.42,23.26,23.27,1505
8-Feb-13,23.40,23.40,23.29,23.29,8367
7-Feb-13,23.32,23.55,23.11,23.39,4505
6-Feb-13,23.22,23.32,23.06,23.27,5681
5-Feb-13,23.07,23.22,23.07,23.22,4930
4-Feb-13,23.13,23.13,23.08,23.13,5413
1-Feb-13,23.02,23.18,23.00,23.05,6082
31-Jan-13,23.12,23.28,23.00,23.11,12514
30-Jan-13,23.50,23.50,23.22,23.22,8119
29-Jan-13,23.32,23.54,23.08,23.53,13677
28-Jan-13,23.35,23.35,23.21,23.34,3682
25-Jan-13,23.29,23.49,23.05,23.48,5855
24-Jan-13,23.28,23.43,23.10,23.28,14528
23-Jan-13,23.44,23.48,23.12,23.16,13563
22-Jan-13,23.23,23.69,23.08,23.47,17620
18-Jan-13,23.21,23.23,23.05,23.23,9793
17-Jan-13,23.07,23.39,23.06,23.20,10663
16-Jan-13,23.07,23.20,23.06,23.20,3683
15-Jan-13,23.20,23.20,23.06,23.16,3664
14-Jan-13,23.25,23.36,23.11,23.11,11085
11-Jan-13,23.32,23.32,23.10,23.13,9635
10-Jan-13,23.28,23.39,23.10,23.10,7999
9-Jan-13,23.25,23.25,23.06,23.15,3488
8-Jan-13,23.43,23.43,23.12,23.24,5440
7-Jan-13,23.19,23.39,23.19,23.36,6086
4-Jan-13,22.96,23.19,22.96,23.19,6410
3-Jan-13,22.93,23.27,22.85,23.10,9791
2-Jan-13,22.95,22.96,22.80,22.87,4994
