Date, Open, High, Low, Close, Volume
17-May-13,20.01,20.27,19.86,20.06,233960
16-May-13,19.91,20.07,19.57,20.02,239242
15-May-13,19.55,20.03,19.55,19.92,234005
14-May-13,19.34,20.24,19.34,19.57,245579
13-May-13,19.76,19.76,19.27,19.37,223465
10-May-13,19.20,19.72,19.01,19.56,166164
9-May-13,18.35,19.20,18.35,18.99,210076
8-May-13,18.40,18.65,18.19,18.30,190132
7-May-13,18.23,18.70,18.18,18.50,339050
6-May-13,17.97,18.21,17.91,18.11,144182
3-May-13,18.01,18.18,17.81,17.91,236338
2-May-13,17.77,18.01,17.69,17.70,311300
1-May-13,18.33,18.33,17.61,17.72,354142
30-Apr-13,18.48,18.61,18.32,18.41,189431
29-Apr-13,18.38,18.57,18.32,18.41,117350
26-Apr-13,18.33,18.38,17.77,18.22,373684
25-Apr-13,19.00,19.20,18.47,18.50,162556
24-Apr-13,18.65,19.08,18.61,18.99,174529
23-Apr-13,18.68,18.82,18.50,18.64,130664
22-Apr-13,18.27,18.50,17.88,18.43,135370
19-Apr-13,17.92,18.32,17.85,18.21,227891
18-Apr-13,17.46,17.92,17.43,17.85,235392
17-Apr-13,17.92,18.04,17.42,17.46,305785
16-Apr-13,17.69,18.25,17.45,18.03,402507
15-Apr-13,18.05,18.09,17.58,17.60,438602
12-Apr-13,18.21,18.34,18.11,18.27,177776
11-Apr-13,18.17,18.64,18.17,18.25,196905
10-Apr-13,18.00,18.43,17.97,18.28,632819
9-Apr-13,18.45,18.45,18.15,18.26,222135
8-Apr-13,18.00,18.43,17.84,18.30,332391
5-Apr-13,17.84,18.30,17.73,18.12,195072
4-Apr-13,17.98,18.09,17.75,18.03,163125
3-Apr-13,18.57,18.73,17.93,17.95,215704
2-Apr-13,18.68,18.90,18.50,18.53,149727
1-Apr-13,19.19,19.26,18.53,18.56,271684
28-Mar-13,18.97,19.51,18.97,19.26,217957
27-Mar-13,19.00,19.34,19.00,19.26,134284
26-Mar-13,19.02,19.26,18.78,19.20,131848
25-Mar-13,19.08,19.42,18.68,18.84,126378
22-Mar-13,18.87,19.12,18.65,19.05,190402
21-Mar-13,18.39,18.91,18.39,18.75,158913
20-Mar-13,18.23,18.56,18.23,18.53,152903
19-Mar-13,18.25,18.45,17.96,18.13,119265
18-Mar-13,17.75,18.44,17.51,18.16,164051
15-Mar-13,18.17,18.44,17.96,18.08,449759
14-Mar-13,17.83,18.22,17.80,18.16,156028
13-Mar-13,17.60,17.88,17.50,17.77,139562
12-Mar-13,17.82,17.93,17.57,17.65,142001
11-Mar-13,17.65,17.86,17.32,17.80,182876
8-Mar-13,17.86,17.96,17.62,17.79,134826
7-Mar-13,17.63,17.81,17.40,17.70,249032
6-Mar-13,18.00,18.00,17.42,17.67,294154
5-Mar-13,17.21,17.91,17.01,17.89,378776
4-Mar-13,16.89,17.17,16.57,17.15,254804
1-Mar-13,16.51,17.06,15.78,17.00,253624
28-Feb-13,16.95,17.08,16.50,16.67,276438
27-Feb-13,16.89,17.12,16.80,16.94,218835
26-Feb-13,17.06,17.47,16.84,16.87,205845
25-Feb-13,17.96,18.06,16.91,16.93,301757
22-Feb-13,17.17,17.82,17.12,17.81,332255
21-Feb-13,17.25,17.29,16.90,17.16,205290
20-Feb-13,18.00,18.10,17.40,17.41,234414
