Date, Open, High, Low, Close, Volume
17-May-13,28.85,29.09,28.79,28.93,502670
16-May-13,28.59,28.95,28.59,28.64,798902
15-May-13,28.19,28.94,28.13,28.60,1695824
14-May-13,27.61,28.40,27.59,28.31,1665286
13-May-13,27.75,27.82,27.35,27.54,1153064
10-May-13,27.96,28.09,27.70,27.80,863858
9-May-13,28.12,28.20,27.79,27.88,923943
8-May-13,27.71,28.20,27.64,28.11,1142163
7-May-13,27.53,27.83,27.46,27.68,1070055
6-May-13,27.38,27.66,27.26,27.41,1050574
3-May-13,27.74,27.74,27.24,27.36,1388238
2-May-13,27.51,27.71,27.41,27.44,1041265
1-May-13,27.61,27.70,27.12,27.50,1728684
30-Apr-13,27.81,28.10,26.38,27.75,2809676
29-Apr-13,27.76,28.29,27.69,28.25,664392
26-Apr-13,27.88,27.88,27.53,27.71,721454
25-Apr-13,27.79,27.95,27.74,27.86,1024943
24-Apr-13,27.46,27.97,27.46,27.69,630868
23-Apr-13,26.92,27.43,26.92,27.39,622222
22-Apr-13,26.96,27.11,26.64,26.84,906952
19-Apr-13,27.10,27.38,26.93,26.99,789452
18-Apr-13,27.37,27.52,26.88,27.04,772802
17-Apr-13,27.48,27.61,27.02,27.28,1193124
16-Apr-13,27.53,27.69,27.25,27.66,1391510
15-Apr-13,28.20,28.36,27.29,27.42,1604510
12-Apr-13,28.71,28.76,28.42,28.60,618515
11-Apr-13,28.65,28.86,28.47,28.86,924699
10-Apr-13,28.05,28.69,28.03,28.69,1109962
9-Apr-13,27.85,28.03,27.59,27.96,753914
8-Apr-13,27.56,27.85,27.38,27.85,642221
5-Apr-13,27.41,27.64,27.20,27.60,1422015
4-Apr-13,27.16,27.72,27.16,27.72,982455
3-Apr-13,27.15,27.33,26.80,27.12,1416701
2-Apr-13,27.42,27.66,27.12,27.22,552612
1-Apr-13,27.56,27.65,27.04,27.25,661558
28-Mar-13,27.37,27.59,27.26,27.56,1392830
27-Mar-13,27.50,27.54,27.28,27.29,1269681
26-Mar-13,27.82,27.97,27.57,27.69,1082362
25-Mar-13,28.64,28.64,27.57,27.73,865032
22-Mar-13,28.69,28.76,28.35,28.44,1154578
21-Mar-13,28.32,28.76,28.27,28.56,1205844
20-Mar-13,28.63,28.76,28.36,28.51,709295
19-Mar-13,28.85,28.85,28.21,28.44,548400
18-Mar-13,28.66,28.98,28.55,28.78,501945
15-Mar-13,28.59,29.03,28.45,28.96,1381129
14-Mar-13,28.57,28.82,28.53,28.71,524072
13-Mar-13,28.52,28.57,28.37,28.47,608422
12-Mar-13,28.70,28.74,28.33,28.53,988587
11-Mar-13,28.47,28.96,28.45,28.76,910318
8-Mar-13,28.58,28.69,28.20,28.43,1793230
7-Mar-13,29.06,29.49,28.32,28.40,2081905
6-Mar-13,28.57,29.43,28.56,29.34,1701262
5-Mar-13,27.68,28.51,27.67,28.45,1210593
4-Mar-13,27.39,27.51,27.14,27.49,682823
1-Mar-13,27.32,27.66,26.94,27.49,865564
28-Feb-13,27.53,27.77,27.45,27.50,772904
27-Feb-13,27.00,27.55,26.94,27.47,1019092
26-Feb-13,27.14,27.23,26.80,27.00,1204551
25-Feb-13,28.02,28.16,27.02,27.02,1093959
22-Feb-13,27.75,27.86,27.60,27.79,483518
21-Feb-13,27.85,28.05,27.52,27.68,1038785
20-Feb-13,28.71,28.76,27.93,27.96,765723
19-Feb-13,28.36,28.85,28.36,28.76,1188046
15-Feb-13,28.22,28.47,28.02,28.28,806462
14-Feb-13,28.22,28.62,28.20,28.47,927050
13-Feb-13,28.00,28.37,27.94,28.26,622205
12-Feb-13,27.52,28.10,27.48,27.95,904935
11-Feb-13,27.11,27.53,27.02,27.46,875010
8-Feb-13,27.01,27.64,27.01,27.09,1206284
7-Feb-13,28.03,28.03,26.84,26.91,1576366
6-Feb-13,27.61,28.03,27.54,27.85,1350619
5-Feb-13,27.73,27.99,27.65,27.77,695291
4-Feb-13,27.87,27.90,27.50,27.55,914032
1-Feb-13,28.00,28.31,27.91,28.01,1239074
31-Jan-13,27.93,28.01,27.88,27.93,922637
30-Jan-13,27.95,28.16,27.90,27.94,811070
29-Jan-13,27.88,28.01,27.81,27.97,1000747
28-Jan-13,27.76,28.00,27.55,27.92,875904
25-Jan-13,28.09,28.14,27.56,27.70,831331
24-Jan-13,27.86,28.26,27.80,27.98,1095031
23-Jan-13,27.62,27.92,27.58,27.90,977322
22-Jan-13,27.65,27.68,27.34,27.68,1457835
18-Jan-13,27.55,27.55,27.14,27.51,711601
17-Jan-13,27.06,27.47,26.83,27.42,653444
16-Jan-13,27.03,27.12,26.65,26.95,431748
15-Jan-13,27.10,27.16,26.73,27.13,734366
14-Jan-13,27.09,27.24,26.75,27.21,417312
11-Jan-13,27.58,27.60,27.09,27.18,353322
10-Jan-13,27.34,27.54,27.12,27.48,841985
9-Jan-13,26.82,27.14,26.76,27.10,985500
8-Jan-13,26.93,26.94,26.39,26.68,1084482
7-Jan-13,27.19,27.32,26.92,27.01,481287
4-Jan-13,27.51,27.64,27.25,27.37,563325
3-Jan-13,27.50,27.79,27.24,27.41,610706
2-Jan-13,27.63,27.99,27.42,27.50,927252
31-Dec-12,26.36,27.11,26.34,27.10,536804
28-Dec-12,26.60,26.74,26.41,26.43,402357
27-Dec-12,26.76,26.92,26.49,26.85,392262
26-Dec-12,26.92,27.05,26.70,26.78,298503
24-Dec-12,26.79,26.88,26.62,26.87,286764
21-Dec-12,26.43,26.81,26.22,26.76,2001148
20-Dec-12,27.54,27.64,26.49,26.84,1646046
19-Dec-12,27.25,27.67,27.06,27.57,1007207
18-Dec-12,26.63,27.24,26.38,27.20,1044065
17-Dec-12,26.79,26.84,26.45,26.55,681431
14-Dec-12,26.68,26.89,26.51,26.76,591622
13-Dec-12,26.80,26.93,26.54,26.69,520783
12-Dec-12,26.67,26.99,26.67,26.79,749205
11-Dec-12,26.48,26.75,26.36,26.63,777565
10-Dec-12,26.37,26.53,26.22,26.48,638141
7-Dec-12,26.23,26.38,26.02,26.38,530055
6-Dec-12,26.00,26.09,25.60,26.09,613237
5-Dec-12,25.76,26.23,25.61,26.00,663776
4-Dec-12,25.74,25.91,25.58,25.70,531096
3-Dec-12,26.25,26.31,25.73,25.77,648339
30-Nov-12,26.11,26.31,25.95,26.09,971358
29-Nov-12,26.03,26.18,25.82,26.13,584111
28-Nov-12,25.51,25.97,25.41,25.94,662305
27-Nov-12,25.79,25.89,25.47,25.63,633574
26-Nov-12,25.42,25.96,25.42,25.86,872921
23-Nov-12,25.39,25.52,25.18,25.52,341071
21-Nov-12,25.05,25.41,25.00,25.34,546064
20-Nov-12,24.82,25.17,24.77,25.12,775300
19-Nov-12,24.49,24.99,24.44,24.84,883979
16-Nov-12,24.02,24.22,23.92,24.19,984392
15-Nov-12,24.02,24.34,23.92,24.03,769756
14-Nov-12,24.54,24.56,23.94,24.05,1001995
13-Nov-12,24.63,25.00,24.53,24.53,704624
12-Nov-12,24.78,24.91,24.38,24.76,966538
9-Nov-12,24.87,25.06,24.68,24.71,1445542
8-Nov-12,25.24,25.41,24.91,24.92,1120203
7-Nov-12,25.77,25.96,25.29,25.31,1157982
6-Nov-12,26.01,26.14,25.87,26.05,1512082
5-Nov-12,25.63,26.14,25.61,26.00,1349520
2-Nov-12,25.60,26.12,25.38,25.63,1503922
1-Nov-12,24.34,25.49,24.26,25.40,1535000
31-Oct-12,24.11,24.55,23.70,24.26,1763551
26-Oct-12,23.74,24.05,23.52,23.59,1096253
25-Oct-12,23.66,24.02,23.59,23.71,1296061
24-Oct-12,24.30,24.30,23.41,23.44,1154514
23-Oct-12,23.99,24.23,23.79,24.20,1365217
22-Oct-12,24.22,24.32,23.85,24.29,771361
19-Oct-12,24.59,24.59,23.90,24.22,1757481
18-Oct-12,24.68,24.72,24.13,24.64,1419602
17-Oct-12,25.26,25.48,25.01,25.08,814941
16-Oct-12,24.83,25.43,24.61,25.37,881274
15-Oct-12,24.68,24.83,24.34,24.73,620770
12-Oct-12,24.59,24.88,24.52,24.61,1001761
11-Oct-12,24.70,24.78,24.27,24.32,832824
10-Oct-12,24.77,24.84,24.46,24.56,717598
9-Oct-12,25.12,25.17,24.75,24.79,920069
8-Oct-12,25.07,25.14,24.90,25.11,434127
5-Oct-12,25.32,25.49,25.03,25.14,716929
4-Oct-12,25.15,25.28,24.98,25.15,903763
3-Oct-12,25.35,25.35,24.90,25.02,887027
2-Oct-12,25.29,25.49,25.06,25.25,1068436
1-Oct-12,25.25,25.50,24.84,25.24,1837947
28-Sep-12,25.17,25.34,24.99,25.15,1538172
27-Sep-12,25.14,25.50,24.97,25.30,944418
26-Sep-12,25.44,25.53,24.81,24.98,1354947
25-Sep-12,25.55,25.71,25.40,25.41,1661661
24-Sep-12,25.30,25.58,25.26,25.50,919715
21-Sep-12,25.70,25.78,25.36,25.44,1292846
20-Sep-12,25.68,25.92,25.25,25.60,1498219
19-Sep-12,25.66,26.00,25.58,25.98,1004454
18-Sep-12,25.26,25.71,25.22,25.71,1182337
17-Sep-12,25.57,25.59,25.11,25.34,799250
14-Sep-12,25.38,25.68,25.31,25.57,1722770
13-Sep-12,25.06,25.45,24.80,25.36,755954
12-Sep-12,25.40,25.47,24.82,25.00,788920
11-Sep-12,24.63,25.47,24.57,25.38,985362
10-Sep-12,24.87,25.00,24.57,24.58,864380
7-Sep-12,25.49,25.51,24.87,25.10,627564
6-Sep-12,24.31,24.97,24.30,24.97,689350
5-Sep-12,24.04,24.22,23.91,24.07,1199583
4-Sep-12,23.97,24.24,23.81,24.00,914953
31-Aug-12,24.33,24.33,23.94,24.29,1153993
30-Aug-12,23.88,24.19,23.85,24.09,503073
29-Aug-12,24.07,24.14,23.88,24.01,597690
28-Aug-12,23.93,24.57,23.93,24.05,517317
27-Aug-12,24.67,24.68,24.11,24.14,662901
24-Aug-12,24.58,24.72,24.34,24.50,581203
23-Aug-12,24.97,25.11,24.53,24.63,630865
22-Aug-12,25.10,25.20,24.83,25.02,575595
21-Aug-12,25.40,25.71,25.20,25.20,608529
20-Aug-12,25.30,25.40,25.06,25.29,710552
17-Aug-12,24.95,25.19,24.89,25.14,718662
