Date, Open, High, Low, Close, Volume
17-May-13,30.42,31.04,30.03,30.79,1735421
16-May-13,30.22,31.36,30.10,30.43,2690701
15-May-13,30.77,31.99,29.75,30.01,2729404
14-May-13,31.03,31.49,30.61,30.97,2233049
13-May-13,31.01,31.65,29.87,30.92,1491831
10-May-13,30.78,31.23,30.45,30.93,909382
9-May-13,30.09,31.05,29.78,30.67,1371333
8-May-13,30.72,30.91,29.30,29.91,2513984
7-May-13,30.70,31.22,30.20,30.67,1310284
6-May-13,30.79,31.60,30.11,30.69,2412573
3-May-13,32.37,32.80,31.02,31.12,2727136
2-May-13,29.50,32.39,28.78,32.22,10145781
1-May-13,26.06,26.33,25.17,25.30,1380817
30-Apr-13,26.64,27.17,25.80,26.03,1552059
29-Apr-13,25.60,26.73,25.58,26.62,1084369
26-Apr-13,25.50,25.72,25.02,25.45,621408
25-Apr-13,25.16,25.96,24.94,25.42,787775
24-Apr-13,25.37,25.59,24.76,24.97,709706
23-Apr-13,25.50,26.24,25.06,25.29,571928
22-Apr-13,25.61,25.61,24.75,25.32,640554
19-Apr-13,25.46,25.96,25.09,25.50,452020
18-Apr-13,26.20,26.36,25.19,25.33,696766
17-Apr-13,25.69,26.26,25.03,26.10,693592
16-Apr-13,25.91,26.24,25.45,25.71,760201
15-Apr-13,26.75,27.00,25.26,25.83,1074952
12-Apr-13,26.19,27.30,25.81,26.96,586716
11-Apr-13,25.80,27.10,25.71,26.35,1026535
10-Apr-13,24.20,25.89,24.10,25.75,1192733
9-Apr-13,24.96,25.23,24.60,24.62,747058
8-Apr-13,25.44,26.27,24.75,25.00,1757628
5-Apr-13,23.50,25.88,23.11,25.70,2074987
4-Apr-13,23.05,23.79,22.74,23.67,704008
3-Apr-13,23.02,23.39,22.48,23.05,1050931
2-Apr-13,23.46,23.76,22.67,22.77,885528
1-Apr-13,23.65,23.68,22.75,22.89,1065183
28-Mar-13,23.99,24.10,23.56,23.71,758443
27-Mar-13,23.55,24.05,23.13,23.72,1180617
26-Mar-13,23.58,23.83,23.39,23.68,476496
25-Mar-13,23.93,24.46,23.41,23.49,765219
22-Mar-13,24.00,24.03,23.61,23.79,417036
21-Mar-13,24.02,24.27,23.86,24.00,747370
20-Mar-13,24.89,25.12,24.01,24.12,1164033
19-Mar-13,24.50,24.76,24.07,24.28,685754
18-Mar-13,24.77,25.01,24.35,24.50,889503
15-Mar-13,25.00,25.40,24.88,25.10,948189
14-Mar-13,25.01,25.35,24.65,25.05,603702
13-Mar-13,23.79,25.23,23.75,25.02,1344647
12-Mar-13,25.05,25.06,23.51,23.73,1361776
11-Mar-13,24.85,25.46,24.39,25.13,1324248
8-Mar-13,23.48,25.20,23.06,25.01,2637401
7-Mar-13,22.84,24.13,22.75,23.46,1383855
6-Mar-13,23.21,23.29,22.75,23.02,1110225
5-Mar-13,23.25,24.34,22.85,23.02,2403161
4-Mar-13,22.90,23.38,22.51,23.18,957337
1-Mar-13,21.89,23.12,21.77,23.01,1750915
28-Feb-13,21.77,22.38,21.65,22.19,1310726
27-Feb-13,21.11,22.06,20.96,21.86,1269386
