Date, Open, High, Low, Close, Volume
15-Mar-13,5.45,5.46,5.21,5.32,729008
14-Mar-13,5.50,5.53,5.47,5.48,221999
13-Mar-13,5.50,5.52,5.45,5.48,355318
12-Mar-13,5.50,5.54,5.49,5.50,264974
11-Mar-13,5.51,5.56,5.50,5.50,201619
8-Mar-13,5.50,5.60,5.47,5.55,331865
7-Mar-13,5.43,5.55,5.43,5.51,223483
6-Mar-13,5.45,5.49,5.44,5.46,176717
5-Mar-13,5.48,5.52,5.45,5.47,369961
4-Mar-13,5.50,5.50,5.43,5.47,305055
1-Mar-13,5.55,5.59,5.52,5.52,180286
28-Feb-13,5.60,5.63,5.55,5.59,230664
27-Feb-13,5.60,5.65,5.60,5.64,155345
26-Feb-13,5.63,5.69,5.63,5.64,219040
25-Feb-13,5.69,5.71,5.60,5.64,243251
22-Feb-13,5.73,5.73,5.63,5.67,226080
21-Feb-13,5.79,5.80,5.67,5.73,380157
20-Feb-13,5.42,5.80,5.42,5.74,809797
19-Feb-13,5.46,5.46,5.40,5.42,468292
15-Feb-13,5.36,5.45,5.36,5.44,337787
14-Feb-13,5.41,5.45,5.37,5.38,350039
13-Feb-13,5.43,5.46,5.41,5.43,269262
12-Feb-13,5.42,5.46,5.41,5.42,259964
11-Feb-13,5.46,5.50,5.41,5.45,330386
8-Feb-13,5.46,5.51,5.46,5.47,318301
7-Feb-13,5.38,5.45,5.38,5.44,260096
6-Feb-13,5.41,5.48,5.40,5.41,172804
5-Feb-13,5.40,5.45,5.40,5.45,572297
4-Feb-13,5.46,5.50,5.38,5.40,404804
1-Feb-13,5.45,5.50,5.43,5.48,494934
31-Jan-13,5.50,5.50,5.43,5.45,368661
30-Jan-13,5.55,5.59,5.50,5.50,419256
29-Jan-13,5.60,5.67,5.58,5.59,125442
28-Jan-13,5.59,5.67,5.50,5.67,375050
25-Jan-13,5.60,5.64,5.56,5.58,364832
24-Jan-13,5.62,5.63,5.56,5.60,343728
23-Jan-13,5.70,5.70,5.62,5.63,395251
22-Jan-13,5.65,5.70,5.61,5.70,450325
18-Jan-13,5.72,5.72,5.62,5.65,289775
17-Jan-13,5.80,5.80,5.70,5.72,224425
16-Jan-13,5.85,5.86,5.78,5.78,372678
15-Jan-13,5.85,5.87,5.80,5.83,183368
14-Jan-13,5.82,5.93,5.80,5.82,301775
11-Jan-13,5.87,5.95,5.78,5.86,596875
10-Jan-13,5.77,5.98,5.72,5.94,672143
9-Jan-13,5.72,5.77,5.71,5.75,361407
8-Jan-13,5.68,5.75,5.67,5.74,234447
7-Jan-13,5.73,5.73,5.66,5.66,241878
4-Jan-13,5.70,5.74,5.67,5.71,313066
3-Jan-13,5.85,5.86,5.70,5.70,520258
2-Jan-13,5.87,5.90,5.77,5.77,1168734
31-Dec-12,5.71,5.85,5.61,5.83,2011721
28-Dec-12,4.95,5.77,4.89,5.71,2009932
27-Dec-12,5.00,5.02,4.89,4.96,543201
26-Dec-12,5.00,5.05,4.91,4.98,596630
24-Dec-12,5.00,5.05,5.00,5.00,273976
21-Dec-12,5.02,5.06,5.00,5.01,246065
20-Dec-12,5.15,5.15,5.02,5.04,231889
19-Dec-12,5.13,5.20,5.10,5.12,225587
18-Dec-12,5.03,5.16,5.00,5.16,400994
17-Dec-12,4.95,5.05,4.95,5.03,289048
14-Dec-12,4.98,5.02,4.98,5.00,103665
13-Dec-12,5.00,5.01,4.94,4.99,230929
12-Dec-12,5.04,5.05,4.95,4.98,230166
11-Dec-12,5.03,5.07,5.00,5.03,288131
10-Dec-12,5.08,5.09,5.03,5.03,234515
7-Dec-12,5.15,5.16,5.02,5.04,248506
6-Dec-12,5.19,5.24,5.13,5.16,140882
5-Dec-12,5.20,5.30,5.16,5.20,151254
4-Dec-12,5.34,5.40,5.15,5.22,253641
3-Dec-12,5.40,5.40,5.33,5.33,221980
30-Nov-12,5.37,5.40,5.32,5.38,118923
29-Nov-12,5.30,5.39,5.26,5.39,331587
28-Nov-12,5.35,5.39,5.30,5.35,168993
27-Nov-12,5.38,5.41,5.23,5.35,640217
26-Nov-12,5.28,5.40,5.28,5.40,153524
23-Nov-12,5.22,5.31,5.21,5.29,89666
21-Nov-12,5.12,5.22,5.12,5.21,104055
20-Nov-12,5.10,5.19,5.08,5.16,146030
19-Nov-12,4.95,5.10,4.95,5.08,246507
16-Nov-12,5.02,5.05,4.81,4.93,567893
15-Nov-12,5.31,5.35,5.00,5.04,631867
14-Nov-12,5.41,5.41,5.30,5.31,451641
13-Nov-12,5.45,5.47,5.40,5.41,202036
12-Nov-12,5.33,5.48,5.30,5.46,485471
9-Nov-12,5.40,5.43,5.27,5.41,756159
8-Nov-12,5.48,5.54,5.40,5.41,598506
7-Nov-12,5.45,5.50,5.43,5.50,461158
6-Nov-12,5.46,5.50,5.45,5.45,313789
5-Nov-12,5.46,5.50,5.45,5.49,425561
2-Nov-12,5.53,5.54,5.48,5.50,205301
1-Nov-12,5.55,5.55,5.51,5.54,177871
31-Oct-12,5.50,5.55,5.44,5.54,415219
26-Oct-12,5.50,5.53,5.48,5.51,218896
25-Oct-12,5.50,5.54,5.48,5.51,233111
24-Oct-12,5.50,5.52,5.46,5.51,278163
23-Oct-12,5.41,5.53,5.38,5.52,412542
22-Oct-12,5.36,5.56,5.31,5.50,437906
19-Oct-12,5.60,5.63,5.50,5.51,466961
18-Oct-12,5.60,5.65,5.55,5.56,515112
17-Oct-12,5.52,5.64,5.52,5.54,796606
16-Oct-12,5.53,5.74,5.46,5.52,1266329
15-Oct-12,5.53,5.88,5.42,5.61,3709684
12-Oct-12,4.75,4.79,4.67,4.79,171586
11-Oct-12,4.76,4.82,4.71,4.77,225525
10-Oct-12,4.73,4.81,4.72,4.78,150134
9-Oct-12,4.68,4.78,4.55,4.77,183754
8-Oct-12,4.62,4.69,4.52,4.68,200078
5-Oct-12,4.62,4.70,4.60,4.67,103023
4-Oct-12,4.63,4.69,4.54,4.64,178791
3-Oct-12,4.54,4.64,4.53,4.59,149875
2-Oct-12,4.62,4.69,4.52,4.57,253989
1-Oct-12,4.55,4.65,4.53,4.65,361770
28-Sep-12,4.59,4.61,4.51,4.58,293101
27-Sep-12,4.56,4.65,4.55,4.62,181559
26-Sep-12,4.47,4.57,4.45,4.55,221232
25-Sep-12,4.54,4.58,4.45,4.48,238746
24-Sep-12,4.46,4.54,4.43,4.51,262640
21-Sep-12,4.37,4.48,4.36,4.45,237891
20-Sep-12,4.41,4.47,4.36,4.36,225483
19-Sep-12,4.34,4.47,4.34,4.45,163579
18-Sep-12,4.40,4.43,4.30,4.37,210986
17-Sep-12,4.32,4.44,4.32,4.43,197518
14-Sep-12,4.53,4.59,4.30,4.32,388492
13-Sep-12,4.50,4.54,4.39,4.52,157072
12-Sep-12,4.35,4.51,4.32,4.48,184165
11-Sep-12,4.38,4.38,4.25,4.36,87985
10-Sep-12,4.19,4.45,4.19,4.35,272414
7-Sep-12,4.22,4.33,4.18,4.25,211471
6-Sep-12,4.12,4.23,4.10,4.20,205357
5-Sep-12,4.11,4.15,4.06,4.11,83852
4-Sep-12,4.20,4.23,4.05,4.10,226227
31-Aug-12,4.14,4.15,4.09,4.11,150138
30-Aug-12,4.07,4.13,4.01,4.10,197738
29-Aug-12,4.12,4.20,4.00,4.09,339608
28-Aug-12,4.10,4.14,3.96,4.14,359770
27-Aug-12,4.38,4.38,4.06,4.07,583297
24-Aug-12,4.18,4.42,4.16,4.37,394404
23-Aug-12,4.16,4.20,4.13,4.19,220609
