Symbol,Date,Open,High,Low,Close,Volume
A,30-Apr-2013,41.2,41.66,40.95,41.44,3451400
AA,30-Apr-2013,8.38,8.52,8.31,8.5,14901700
AA.P,30-Apr-2013,90.25,91,90.25,91,5700
AACC,30-Apr-2013,6.49,6.49,6.46,6.47,548700
AADR,30-Apr-2013,33.61,33.61,33.61,33.61,100
AAIT,30-Apr-2013,28.39,29.1,28.39,29.1,400
AAME,30-Apr-2013,3.5,3.6,3.45,3.57,7900
AAN,30-Apr-2013,28.3,28.72,28.17,28.71,627300
AAON,30-Apr-2013,28.16,28.48,27.97,28.41,59200
AAP,30-Apr-2013,83,83.93,82.33,83.88,792300
AAPL,30-Apr-2013,435.1,445.25,432.07,442.78,24697700
AAT,30-Apr-2013,33.07,33.76,32.96,33.76,242700
AAU,30-Apr-2013,1.68,1.71,1.63,1.67,155700
AAV,30-Apr-2013,3.96,3.97,3.91,3.97,137500
AAWW,30-Apr-2013,37.84,38.12,37.25,37.4,333400
AAXJ,30-Apr-2013,59.97,60.46,59.73,60.42,588900
AB,30-Apr-2013,23.89,24.15,23.59,23.69,256300
ABAX,30-Apr-2013,42.24,42.69,41.58,42.69,258500
ABB,30-Apr-2013,22.46,22.68,22.46,22.57,2042400
ABBV,30-Apr-2013,45.05,46.23,45.01,46.05,6799500
ABC,30-Apr-2013,54.07,54.13,53.6,54.12,2065000
ABCB,30-Apr-2013,13.7,13.96,13.67,13.87,16200
ABCD,30-Apr-2013,0.97,0.97,0.97,0.97,0
ABCO,30-Apr-2013,48.54,49.2,48.08,49.15,228500
ABFS,30-Apr-2013,11.5,11.74,10.48,10.51,533300
ABG,30-Apr-2013,39.95,40.35,39.61,40.09,225600
ABI,30-Apr-2013,19,19.16,19,19.08,1200
ABIO,30-Apr-2013,2.28,2.4,2.25,2.38,38600
ABM,30-Apr-2013,22.55,22.69,22.39,22.55,316300
ABMD,30-Apr-2013,18.15,18.53,17.75,18.47,346700
ABR,30-Apr-2013,7.72,7.74,7.6,7.72,143000
ABR-A,30-Apr-2013,25.91,26.03,25.91,25.99,7500
ABT,30-Apr-2013,36.7,36.98,36.48,36.92,6426800
ABTL,30-Apr-2013,4.35,4.39,4.2,4.39,13500
ABV,30-Apr-2013,38.28,42.02,38.23,42.02,7789600
ABV.C,30-Apr-2013,37.8,41.06,37.67,40.58,94000
ABW-B,30-Apr-2013,29,29,28.85,28.85,4300
ABX,30-Apr-2013,19.36,19.71,18.91,19.71,18092100
ACAD,30-Apr-2013,13.15,13.23,12.35,12.89,4965900
ACAS,30-Apr-2013,15.05,15.2,14.93,15.13,3620800
ACAT,30-Apr-2013,44.23,45,44.06,44.99,219900
ACC,30-Apr-2013,44.14,44.85,43.97,44.64,1702900
ACCL,30-Apr-2013,9.76,9.98,9.75,9.85,88500
ACCO,30-Apr-2013,6.59,6.76,6.57,6.75,1380200
ACCU,30-Apr-2013,29,29.2,29,29.2,700
ACE,30-Apr-2013,88.96,89.15,88.59,89.14,1478100
ACET,30-Apr-2013,10.51,10.59,10.3,10.4,68400
ACFC,30-Apr-2013,4.99,5,4.97,4.99,9900
ACFN,30-Apr-2013,7.19,7.5,7.1,7.5,63500
ACG,30-Apr-2013,8.36,8.37,8.35,8.35,383400
ACGL,30-Apr-2013,53.46,53.7,52.24,53.06,803300
ACH,30-Apr-2013,9.41,9.65,9.41,9.65,108900
ACHC,30-Apr-2013,32.1,32.34,31.49,31.55,263000
ACHN,30-Apr-2013,7.38,7.9,7.36,7.54,1256800
ACI,30-Apr-2013,4.79,4.85,4.69,4.85,9221900
ACIM,30-Apr-2013,55.52,55.73,55.52,55.73,500
ACIW,30-Apr-2013,46.56,47.68,46.4,47.01,602400
ACLS,30-Apr-2013,1.31,1.33,1.28,1.3,992000
ACM,30-Apr-2013,28.76,29.14,28.35,29.07,745600
ACMP,30-Apr-2013,40.94,41.32,40.53,41.27,311500
ACN,30-Apr-2013,80.92,81.44,80.03,81.44,3334300
ACNB,30-Apr-2013,16.41,16.51,16.35,16.5,8100
ACO,30-Apr-2013,30.41,30.79,29.88,30.77,93300
ACOR,30-Apr-2013,39.14,39.58,38.84,39.57,433100
ACP,30-Apr-2013,18.7,18.7,18.47,18.59,116900
ACP.P,30-Apr-2013,0.45,0.46,0.45,0.46,683200
ACPW,30-Apr-2013,4.47,4.75,4.46,4.57,175900
ACRE,30-Apr-2013,16.7,16.84,16.62,16.83,45100
ACRX,30-Apr-2013,5.9,6.03,5.82,5.86,109200
ACST,30-Apr-2013,2.4,2.4,2.3,2.36,24300
ACT,30-Apr-2013,105.52,106.04,104.78,105.73,2061900
ACTG,30-Apr-2013,23.62,23.88,23.48,23.82,1001100
ACTS,30-Apr-2013,3.4,3.4,3.34,3.37,114700
ACTV,30-Apr-2013,5.16,5.16,5,5.03,449000
ACU,30-Apr-2013,12.12,12.8,12.12,12.8,16300
ACUR,30-Apr-2013,2.55,2.6,2.44,2.45,456700
ACW,30-Apr-2013,4.91,5.22,4.91,5.14,227200
ACWI,30-Apr-2013,52.01,52.27,51.87,52.19,1774600
ACWV,30-Apr-2013,63.65,63.89,63.38,63.87,57200
ACWX,30-Apr-2013,44.24,44.38,44.05,44.36,352800
ACXM,30-Apr-2013,19.5,19.94,19.49,19.89,335700
ACY,30-Apr-2013,19.78,20.38,19.06,19.78,2100
ADAT,30-Apr-2013,1.29,1.29,1.26,1.26,6300
ADBE,30-Apr-2013,44.76,45.15,44.55,45.08,4313100
ADC,30-Apr-2013,30.39,30.39,29.79,30.07,92300
ADEP,30-Apr-2013,3.34,3.34,3.2,3.21,13200
ADES,30-Apr-2013,26.54,27.77,26.54,27.61,68500
ADGE,30-Apr-2013,1.71,1.84,1.7,1.84,33200
ADI,30-Apr-2013,43.56,44.04,43.36,43.99,2572400
ADK,30-Apr-2013,5.6,5.8,5.57,5.8,21600
ADK-A,30-Apr-2013,26.4,26.77,26.4,26.74,2200
ADM,30-Apr-2013,34,34.03,33.65,33.94,4525600
ADNC,30-Apr-2013,15.13,15.2,14.7,14.79,255300
ADP,30-Apr-2013,66.99,67.35,66.87,67.34,1641600
ADRA,30-Apr-2013,28.65,28.65,28.51,28.65,1600
ADRD,30-Apr-2013,22.81,22.86,22.73,22.75,4900
ADRE,30-Apr-2013,38.47,39.19,38.43,39.17,44800
ADRU,30-Apr-2013,22.06,22.06,22.06,22.06,100
ADS,30-Apr-2013,168.26,171.77,168.01,171.77,791000
ADSK,30-Apr-2013,38.24,39.38,38.14,39.38,5426100
ADT,30-Apr-2013,43.65,43.98,42.95,43.64,3231300
ADTN,30-Apr-2013,20.27,21.09,20.26,21,1250900
ADUS,30-Apr-2013,11.94,12.02,11.57,11.84,62700
ADVS,30-Apr-2013,28,29.19,27.73,29.04,649500
ADX,30-Apr-2013,11.84,11.87,11.79,11.85,85400
ADY,30-Apr-2013,7.27,7.32,7.26,7.32,24400
ADZ,30-Apr-2013,21.55,21.55,21.55,21.55,100
AE,30-Apr-2013,49.04,50.37,48.56,49.69,7700
AEB,30-Apr-2013,24.78,24.84,24.75,24.83,42900
AEC,30-Apr-2013,17.59,17.94,17.59,17.87,262600
AED,30-Apr-2013,25.33,25.4,25.26,25.34,89700
AEE,30-Apr-2013,36.16,36.25,36.02,36.25,1414500
AEF,30-Apr-2013,25.55,25.63,25.54,25.57,35800
AEG,30-Apr-2013,6.62,6.76,6.58,6.76,3388100
AEGN,30-Apr-2013,21.1,21.31,20.95,21.06,224500
AEGR,30-Apr-2013,40.13,42.99,40.13,42.04,1466300
AEH,30-Apr-2013,26.53,26.74,26.53,26.67,31100
AEHR,30-Apr-2013,1,1.09,0.97,0.97,3100
AEIS,30-Apr-2013,18.34,18.34,15.95,16.98,1287400
AEK,30-Apr-2013,28.6,28.64,28.45,28.55,73100
AEL,30-Apr-2013,15.18,15.25,15.15,15.24,553600
AEM,30-Apr-2013,30.71,32.3,30.36,32.29,2240800
AEO,30-Apr-2013,19.15,19.51,18.94,19.45,5075500
AEP,30-Apr-2013,51.27,51.5,51.12,51.43,2640000
AEPI,30-Apr-2013,77.96,77.96,76.48,77.1,9200
AER,30-Apr-2013,15.81,15.91,15.62,15.87,217300
AERL,30-Apr-2013,4.3,4.47,4.16,4.44,356400
AES,30-Apr-2013,13.69,13.94,13.62,13.86,10962700
AES-C,30-Apr-2013,50.41,50.47,50.29,50.29,22000
AET,30-Apr-2013,57.1,58.64,56.57,57.44,5666900
AETI,30-Apr-2013,5.42,5.49,5.39,5.49,1600
AEV,30-Apr-2013,25.48,25.57,25.46,25.51,19000
AEY,30-Apr-2013,2.29,2.38,2.29,2.36,16100
AEZS,30-Apr-2013,1.85,1.86,1.81,1.82,71200
AF,30-Apr-2013,9.62,9.69,9.56,9.59,445900
AFA,30-Apr-2013,26.32,26.47,26.23,26.46,13800
AFAM,30-Apr-2013,19.65,19.81,19.55,19.74,51200
AFB,30-Apr-2013,15.53,15.55,15.5,15.52,36000
AFC,30-Apr-2013,25.55,25.55,25.48,25.48,6200
AF-C,30-Apr-2013,25.38,25.39,25.2,25.35,243800
AFCB,30-Apr-2013,18.6,18.6,18.6,18.6,200
AFCE,30-Apr-2013,32.22,32.22,31.66,31.88,275000
AFF,30-Apr-2013,25.43,25.55,25.34,25.51,77500
AFFX,30-Apr-2013,3.49,3.65,3.46,3.64,751000
AFFY,30-Apr-2013,0.94,0.94,0.9,0.9,834500
AFG,30-Apr-2013,47.91,48.27,47.86,48.27,356600
AFH,30-Apr-2013,7.3,7.38,7.3,7.3,30500
AFK,30-Apr-2013,29.47,29.75,29.35,29.75,18500
AFL,30-Apr-2013,54,54.71,53.96,54.44,3018900
AFM,30-Apr-2013,25.53,25.57,25.49,25.54,8300
AFOP,30-Apr-2013,16.11,16.48,16,16.48,74000
AFQ,30-Apr-2013,27.27,27.49,27.27,27.47,1200
AFSD,30-Apr-2013,26.7,26.89,26.59,26.81,26800
AFSI,30-Apr-2013,31.58,31.88,31.42,31.66,432900
AFT,30-Apr-2013,20,20.01,19.85,19.93,48700
AFW,30-Apr-2013,26.8,26.97,26.79,26.97,10000
AG,30-Apr-2013,12.09,12.35,11.76,12.34,1099100
AGA,30-Apr-2013,14.74,14.74,14.21,14.21,900
AGC,30-Apr-2013,7.29,7.31,7.25,7.31,99600
AGCO,30-Apr-2013,53.35,54.3,53.05,53.25,2491300
AGD,30-Apr-2013,4.81,4.84,4.78,4.84,308000
AGEM,30-Apr-2013,22.36,22.55,22.25,22.55,4900
AGEN,30-Apr-2013,4.95,5.1,4.65,4.86,607300
AGF,30-Apr-2013,18.1,18.1,18.1,18.1,0
AGG,30-Apr-2013,111.59,111.68,111.48,111.54,1853000
AGI,30-Apr-2013,13.33,13.98,13.25,13.92,36100
AGII,30-Apr-2013,41.02,41.7,40.79,41.45,108900
AGIIL,30-Apr-2013,25.39,25.56,25.38,25.48,32900
AGLS,30-Apr-2013,22.4,22.61,22.4,22.57,700
AGM,30-Apr-2013,31.55,31.81,31.3,31.78,14600
AGM.A,30-Apr-2013,26.47,26.47,26.13,26.13,500
AGM-A,30-Apr-2013,24.85,24.94,24.78,24.78,13400
AGN,30-Apr-2013,113.45,114.91,113.23,113.55,1669900
AGNC,30-Apr-2013,33.15,33.31,33.01,33.31,3575000
AGNCP,30-Apr-2013,26.6,26.96,26.6,26.7,51100
AGO,30-Apr-2013,20.45,20.78,20.39,20.63,1051300
AGO-B,30-Apr-2013,25.41,25.52,25.41,25.52,700
